Entidad Federativa,Cultivo desarrollado en instalaciones de agricutura protegida,Tipo de instalación,Suma de Superficie cosechada al momento de la visita (Ha),Suma de Num. de Instalaciones
AGUASCALIENTES,ACELGA,Invernadero,0.040,1
AGUASCALIENTES,ALCATRAZ,Techo sombra,0.001,1
AGUASCALIENTES,ALFALFA VERDE,Invernadero,0.500,1
AGUASCALIENTES,BELEN (PLANTA),Techo sombra,0.001,1
AGUASCALIENTES,BETABEL,Invernadero,0.040,1
AGUASCALIENTES,BROCOLI,Invernadero,0.004,2
AGUASCALIENTES,BROCOLI,Vivero,0.032,2
AGUASCALIENTES,CALABACITA,Invernadero,0.251,3
AGUASCALIENTES,CALABACITA,Vivero,0.003,1
AGUASCALIENTES,CEBOLLA,Invernadero,0.040,1
AGUASCALIENTES,CHILE MORRON,Invernadero,0.006,1
AGUASCALIENTES,CHILE SECO,Invernadero,2.094,13
AGUASCALIENTES,CHILE SECO,Vivero,0.010,1
AGUASCALIENTES,CHILE SERRANO (PLÁNTULA),Vivero,0.080,1
AGUASCALIENTES,CHILE VERDE,Invernadero,0.045,5
AGUASCALIENTES,CHILE VERDE,Macrotunel,3.700,4
AGUASCALIENTES,CHILE VERDE,Microtunel,2.000,1
AGUASCALIENTES,CHILE VERDE,Techo sombra,0.007,1
AGUASCALIENTES,CHILE VERDE,Vivero,0.008,1
AGUASCALIENTES,COL (REPOLLO),Invernadero,0.102,5
AGUASCALIENTES,COLIFLOR,Invernadero,0.090,2
AGUASCALIENTES,COLIFLOR,Vivero,0.032,2
AGUASCALIENTES,FLORES,Invernadero,0.004,1
AGUASCALIENTES,FRESA,Invernadero,1.444,3
AGUASCALIENTES,FRESA,Macrotunel,1.000,1
AGUASCALIENTES,HORTALIZAS,Invernadero,0.148,5
AGUASCALIENTES,LECHUGA,Invernadero,0.393,12
AGUASCALIENTES,LECHUGA,Vivero,0.070,4
AGUASCALIENTES,NOPAL FORRAJERO,Macrotunel,0.500,1
AGUASCALIENTES,NOPAL VERDURA,Macrotunel,4.000,1
AGUASCALIENTES,PEPINO,Invernadero,3.647,8
AGUASCALIENTES,PEPINO,Macrotunel,5.512,3
AGUASCALIENTES,PEPINO,Vivero,0.008,1
AGUASCALIENTES,PLANTAS DE ORNATO,Invernadero,0.212,6
AGUASCALIENTES,PLANTAS DE ORNATO,Microtunel,0.009,1
AGUASCALIENTES,PLANTAS DE ORNATO,Vivero,0.009,1
AGUASCALIENTES,ROSA,Invernadero,0.030,1
AGUASCALIENTES,TOMATE ROJO (JITOMATE),Invernadero,18.432,55
AGUASCALIENTES,TOMATE ROJO (JITOMATE),Macrotunel,6.000,4
AGUASCALIENTES,TOMATE ROJO (JITOMATE),Vivero,0.020,1
AGUASCALIENTES,TOMATE VERDE,Invernadero,0.067,5
AGUASCALIENTES,TOMATE VERDE,Vivero,0.040,1
AGUASCALIENTES,TOMILLO,Invernadero,0.051,1
AGUASCALIENTES,TRUENO,Techo sombra,0.001,1
BAJA CALIFORNIA,ACELGA,Casa sombra,0.002,1
BAJA CALIFORNIA,ALBAHACA,Casa sombra,0.120,1
BAJA CALIFORNIA,ALBAHACA,Invernadero,4.966,42
BAJA CALIFORNIA,ALBAHACA,Macrotunel,0.047,8
BAJA CALIFORNIA,ALCATRAZ,Techo sombra,1.000,1
BAJA CALIFORNIA,ARANDANO,Macrotunel,143.020,2
BAJA CALIFORNIA,BROCOLI,Casa sombra,0.002,1
BAJA CALIFORNIA,CALABACITA,Casa sombra,0.011,1
BAJA CALIFORNIA,CALABACITA,Invernadero,0.280,3
BAJA CALIFORNIA,CEBOLLIN,Invernadero,1.000,2
BAJA CALIFORNIA,CEBOLLINO,Invernadero,0.185,2
BAJA CALIFORNIA,CHILE HABANERO,Invernadero,0.200,1
BAJA CALIFORNIA,CHILE MORRON,Casa sombra,13.980,9
BAJA CALIFORNIA,CHILE MORRON,Invernadero,8.000,1
BAJA CALIFORNIA,CHILE VERDE,Casa sombra,1.902,2
BAJA CALIFORNIA,CHILE VERDE,Macrotunel,20.000,1
BAJA CALIFORNIA,CHIVES,Invernadero,0.100,1
BAJA CALIFORNIA,CLAVEL,Casa sombra,2.280,3
BAJA CALIFORNIA,CLAVEL,Invernadero,28.470,55
BAJA CALIFORNIA,COL (REPOLLO),Casa sombra,1.800,1
BAJA CALIFORNIA,COLIFLOR SEMILLA,Invernadero,2.000,1
BAJA CALIFORNIA,CRISANTEMO,Invernadero,0.894,2
BAJA CALIFORNIA,DALIA,Invernadero,1.004,2
BAJA CALIFORNIA,EJOTE,Casa sombra,4.250,5
BAJA CALIFORNIA,ESPECIAS Y MEDICINALES,Invernadero,0.250,1
BAJA CALIFORNIA,ESTRAGON,Invernadero,0.280,1
BAJA CALIFORNIA,ESTRAGON,Macrotunel,0.210,5
BAJA CALIFORNIA,FLORES,Casa sombra,0.030,3
BAJA CALIFORNIA,FLORES,Invernadero,6.802,22
BAJA CALIFORNIA,FRAMBUESA,Macrotunel,150.959,3
BAJA CALIFORNIA,FRESA,Invernadero,4.700,2
BAJA CALIFORNIA,FRESA,Macrotunel,145.859,3
BAJA CALIFORNIA,FRISIA,Invernadero,0.142,1
BAJA CALIFORNIA,GERBERA,Invernadero,2.000,5
BAJA CALIFORNIA,LILIS,Invernadero,0.970,1
BAJA CALIFORNIA,LIMÓN,Casa sombra,0.030,1
BAJA CALIFORNIA,LIMONIUM,Invernadero,1.017,3
