Claves_de_serie,Descripción_de_la_serie
99,"Partos atendidos con asistencia de personal sanitario calificado"
100,"Total de partos atendidos"
293,"Defunciones en la población menor de 5 años de edad"
359,"Mujeres titulares de una curul en la Cámara"
360,"Total de curules en la Cámara"
363,"Producto Interno Bruto real per cápita"
364,"Producto Interno Bruto a precios constantes"
370,"Población de 5 a 17 años con una ocupación no permitida"
371,"Población de 5 a 17 años"
385,"Población cuya fuente primaria de energía son los combustibles y tecnologías limpias"
386,"Población total"
388,"Consumo de energía renovable"
389,"Consumo total de energía"
391,"Consumo final de energía primaria u oferta interna bruta de energía primaria"
392,"Producto Interno Bruto trimestral anualizado, a precios corrientes, base 2018"
397,"Accidentes y enfermedades de trabajo"
398,"Trabajadores con seguro de riesgo de trabajo"
431,"Caudal de agua residual tratada de origen municipal, m3/s"
432,"Caudal de agua residual tratada de origen industrial, m3/s"
433,"Caudal de agua residual generada de origen municipal, m3/s"
434,"Caudal de agua residual generada de origen industrial, m3/s"
450,"Superficie de bosques y selvas existentes en el país"
451,"Superficie terrestre nacional"
483,"Valor agregado por manufactura real"
487,"Producto Interno Bruto trimestral anualizado, a precios corrientes, base 2018"
501,"Gasto en investigación y desarrollo experimental"
502,"Producto Interno Bruto trimestral anualizado, a precios corrientes, base 2018"
532,"Nacidos vivos"
538,"Población total"
554,"Población total a mitad de año"
559,"Población total"
571,"Número de muertes por lesiones debidas a accidentes de tráfico"
572,"Población total a mitad de año"
595,"Población con inseguridad alimentaria moderada o severa"
596,"Población total"
600,"Personas que utilizan teléfonos móviles"
605,"Población estimada al cierre del año"
606,"Prevalencia de uso de métodos anticonceptivos modernos en mujeres en edad fértil (15 a 49 años) unidas"
607,"Mujeres en edad fértil (15 a 49 años) unidas usuarias de métodos anticonceptivos modernos"
608,"Mujeres en edad fértil (15 a 49 años) unidas"
609,"Demanda total de anticoncepción en mujeres unidas en edad fértil (15 a 49 años)"
610,"Necesidad insatisfecha de métodos anticonceptivos en mujeres en edad fértil (15 a 49 años) unidas"
611,"Mujeres en edad fértil (15 a 49 años) unidas que desean espaciar o limitar el nacimiento de próximos hijos(as), pero no hacen uso de método anticonceptivo alguno"
612,"Prevalencia de uso de cualquier método anticonceptivo en mujeres en edad fértil (15 a 49 años) unidas"
613,"Mujeres en edad fértil (15 a 49 años) unidas usuarias de cualquier método anticonceptivo"
614,"Total de hijos(as) nacidos(as) vivos(as) en las niñas y adolescentes (de 10 a 14 años)"
615,"Niñas y adolescentes (de 10 a 14 años) a mitad de año"
617,"Total de hijos(as) nacidos(as) vivos(as) en las adolescentes (de 15 a 19 años)"
618,"Adolescentes (de 15 a 19 años) a mitad de año"
628,"INPC (2011=100, agosto de cada año)"
629,"Deflactor (base 2011=100)"
630,"Canasta mensual (1.90 dlls)"
631,"PIB a precios corrientes"
632,"Consumo privado a precios corrientes"
633,"Propensión marginal a consumir (ConsPr/PIB)"
634,"Población total"
637,"Población en pobreza"
641,"Población que vive por debajo del umbral nacional de la pobreza, desglosada por sexo y edad"
642,"Población total"
643,"Población de hombres, mujeres y niños de todas las edades que viven en la pobreza en todas sus dimensiones, con arreglo a las definiciones nacionales"
644,"Población total"
648,"Número de defunciones por homicidio registradas (por entidad de registro) durante el año"
649,"Población a mitad de año en la entidad federativa (Proyecciones CONAPO)"
653,"Mujeres titulares de las gubernaturas"
654,"Total de gobernadoras y gobernadores"
668,"Ingresos por remesas"
669,"PIB Promedio trimestral no anualizado"
706,"Población total"
759,"Gasto Neto Total del Gobierno Central Observado - Costo Financiero de la Deuda del Gobierno Central Observado"
760,"Gasto Neto Total del Gobierno Central Observado"
761,"Costo Financiero de la Deuda del Gobierno Central Observado"
762,"Gasto Neto Total del Gobierno Central Aprobado - Costo Financiero de la Deuda del Gobierno Central Aprobado"
763,"Gasto Neto Total del Gobierno Central Aprobado"
764,"Costo Financiero de la Deuda del Gobierno Central Aprobado"
767,"Ingresos tributarios del sector público"
768,"Gasto neto presupuestario del sector público"
770,"Costo Financiero de la deuda pública externa"
771,"Amortizaciones de la deuda pública externa"
772,"Exportaciones de Bienes y Servicios"
773,"Exportación de Bienes"
774,"Exportación de Servicios"
778,"Número de sucursales bancarias"
779,"Población de 18 años o más"
781,"Número de cajeros automáticos"
782,"Población de 18 años o más"
788,"Gasto ejercido correspondiente a las funciones de salud, educación y protección social"
789,"Gasto ejercido correspondiente a las funciones de salud"
790,"Gasto ejercido correspondiente a las funciones de educación"
791,"Gasto ejercido correspondiente a las funciones de protección social"
792,"Gasto Neto Total"
794,"Defunciones de mujeres mientras se encuentran embarazadas o dentro de los 42 días siguientes a la terminación del embarazo"
795,"Nacidos vivos"
828,"Usuarios de Internet"
829,"Población estimada al cierre del año"
831,"Usuarios de Internet"
832,"Población estimada al cierre del año"
839,"Ingresos"
840,"Producto Interno Bruto trimestral anualizado, a precios corrientes, base 2018"
844,"Producto Interno Bruto directo turístico"
845,"Producto Interno Bruto total"
846,"Producto Interno Bruto real"
852,"Población que vive por debajo del umbral internacional de la pobreza"
853,"Población total"
855,"Población con inseguridad alimentaria moderada o severa"
856,"Población total"
859,"Alumnos de primer grado de primaria con al menos un grado de preescolar cursado"
860,"Matrícula total de primer grado de primaria"
861,"Población participante en la enseñanza académica y no académica y entrenamiento en el grupo de edad de 15 a 24 años"
862,"Población total (15 a 24 años)"
863,"Población total de 15 a 24 años"
864,"Población alfabeta de 15 a 24 años"
865,"Número de maestros con formación y práctica docente en preescolar"
866,"Número total de maestros en preescolar"
868,"Número de maestros con formación y práctica docente en primaria"
869,"Número total de maestros en primaria"
871,"Número de maestros con formación y práctica docente en secundaria"
872,"Número total de maestros en secundaria"
874,"Escuelas con energía eléctrica"
877,"Escuelas con conexión a internet"
880,"Escuelas con equipos de cómputo en funcionamiento"
886,"Escuelas con conexión a la red pública de agua"
907,"Superficie montañosa cubierta por bosques, pastizales o matorrales, o tierras de cultivo Km<sup>2</sup>"
908,"Superficie montañosa total Km<sup>2</sup>"
909,"Población total"
925,"Total de escuelas"
926,"Escuelas con infraestructura adaptada para discapacidad"
928,"Escuelas con materiales adaptados para discapacidad"
929,"Escuelas con sanitarios independientes"
931,"Escuelas con lavabo de manos"
933,"Población de adolescentes y adultos reclusos sin sentencia"
934,"Población total de adolescentes y adultos reclusos"
936,"Población de 18 años y más víctimas de delitos violentos que informaron su victimización a autoridades competentes u otros mecanismos de resolución de conflictos reconocidos oficialmente"
937,"Población de 18 años y más víctima de violencia física o sexual"
939,"Total de unidades económicas que reportaron ser víctima de algún acto de corrupción por parte de un empleado de gobierno, servidor público, una tercera persona o coyote a nombre de un empleado de gobierno o servidor público"
940,"Total de unidades económicas"
