"Periodo","Superficie_de_terrenos_forestales_que_permanecen_como_tales_en_el_año_t",
"2024","96,383,925.18",
"2023","96,492,884.18",
"2022","96,676,766.18",
"2021","96,883,330.18",
"2020","97,051,141.62",
"2019","97,225,331.67",
"2018","97,451,913.04",
"2017","97,618,249.8",
"2016","97,710,859",
"2015","98,061,157",
"2014","98,356,276",
"2013","98,699,175",
"2012","98,954,030",
"2011","99,278,293",
"2010","99,560,724",
"2009","99,781,213",
"2008","100,083,005",
"2007","100,275,637",
"2006","100,407,459",
"2005","100,506,312",
"2004","100,676,733",
"2003","100,812,686",
"2002","100,998,427",
"2001","101,189,498",
"2000","101,269,170",
