"Periodo","Superficie_terrestre_calculada_cubierta_por_áreas_naturales_protegidas_federales_en_el_año_t",
"2023","22,149,714.04",
"2022","21,509,595.99",
"2021","21,493,345.95",
"2020","21,382,185.51",
"2019","21,382,185.51",
"2018","21,382,185.51",
"2017","21,382,185.51",
"2016","21,366,667.29",
"2015","20,959,049.95",
"2014","20,949,923.59",
"2013","20,949,923.59",
"2012","20,949,923.59",
"2011","20,942,870.85",
"2010","20,942,870.85",
"2009","20,809,016.46",
"2008","19,879,986.42",
"2007","19,825,688.11",
"2006","19,323,204.37",
"2005","19,323,204.37",
"2004","18,595,657.47",
"2003","18,595,657.47",
"2002","18,589,279.1",
"2001","18,578,779.29",
"2000","18,578,779.29",
"1999","18,106,350.79",
"1998","17,885,029.43",
"1997","17,224,500.58",
"1996","16,840,933.13",
"1995","16,725,682.68",
"1994","16,442,681.23",
"1993","15,050,083.9",
