"Periodo","Proporción_de_lugares_importantes_para_la_diversidad_biológica_terrestre_y_del_agua_dulce_que_forman_parte_de_zonas_protegidas,_desglosada_por_tipo_de_ecosistema",
"2023","11.27570552",
"2022","10.9498421",
"2021","10.9415697",
"2020","10.8849815",
"2019","10.8849815",
"2018","10.8849815",
"2017","10.8849815",
"2016","10.8770817",
"2015","10.6695768",
"2014","10.6649309",
"2013","10.6649309",
"2012","10.6649309",
"2011","10.6613406",
"2010","10.6613406",
"2009","10.5931996",
"2008","10.1202603",
"2007","10.0926188",
"2006","9.8368206",
"2005","9.8368206",
"2004","9.4664499",
"2003","9.4664499",
"2002","9.4632029",
"2001","9.4578577",
"2000","9.4578577",
"1999","9.2173596",
"1998","9.104692",
"1997","8.7684381",
"1996","8.5731763",
"1995","8.514506",
"1994","8.3704391",
"1993","7.6615126",
