"Periodo","Superficie_de_KBA_dentro_de_ANP_en_zonas_de_montaña",
"2024","224,717.945457",
"2023","138,143",
"2022","129,804.523279",
"2021","129,804.523279",
"2020","129,804.523279",
"2019","129,274.432136",
"2018","128,388.285545",
"2017","53,628.022973",
"2016","53,628.022973",
"2015","53,628.022973",
"2014","53,628.022973",
"2013","53,628.022973",
"2012","51,492.930831",
"2011","51,492.930831",
"2010","51,492.930831",
"2009","51,492.930831",
"2008","0",
"2007","0",
"2006","0",
"2005","0",
"2004","0",
"2003","0",
"2002","0",
"2001","0",
"2000","0",
"1999","0",
