"Periodo","Superficie_de_GAP_Terrestre_dentro_de_ANP_en_zonas_de_montaña",
"2024","3,444,736.295109",
"2023","3,444,736.295109",
"2022","3,444,736.295109",
"2021","3,444,736.295109",
"2020","3,395,673.453541",
"2019","3,395,673.453541",
"2018","3,395,673.453541",
"2017","3,395,673.453541",
"2016","3,395,673.453541",
"2015","3,200,471.7765",
"2014","3,332,023.885884",
"2013","3,332,023.885884",
"2012","3,332,023.885884",
"2011","3,332,023.885884",
"2010","3,332,023.885884",
"2009","3,332,023.885884",
"2008","3,187,375.19904",
"2007","3,187,375.19904",
"2006","0",
"2005","0",
"2004","0",
"2003","0",
"2002","0",
"2001","0",
"2000","0",
"1999","0",
