"Periodo","Sumatoria_de_Superficie_de_Instrumentos_(KBA,_AICAS,_GAP_Terrestre)_dentro_de_ANP_en_zonas_de_montaña",
"2024","8,591,138.719432",
"2023","8,372,477.295109",
"2022","8,371,214.614455",
"2021","8,371,214.614455",
"2020","8,322,151.772887",
"2019","8,321,621.681744",
"2018","8,320,735.535153",
"2017","8,245,975.272581",
"2016","8,245,975.272581",
"2015","7,766,197.461906",
"2014","7,661,290.125675",
"2013","7,661,290.125675",
"2012","7,659,155.033533",
"2011","7,659,155.033533",
"2010","7,659,155.033533",
"2009","7,659,155.033533",
"2008","7,349,103.173816",
"2007","7,349,103.173816",
"2006","3,645,154.89924",
"2005","3,645,154.89924",
"2004","3,645,154.89924",
"2003","3,645,154.89924",
"2002","3,645,154.89924",
"2001","3,645,154.89924",
"2000","3,645,154.89924",
"1999","3,645,154.89924",
