"Periodo","Superficie_nacional_de_sitios_importantes_para_la_biodiversidad_de_montaña:_KBA,__AICA_y_GAP_Terrestre",
"2024","63,763,157.1788",
"2023","63,763,157.1788",
"2022","63,763,157.1788",
"2021","63,763,157.1788",
"2020","63,681,428.0844",
"2019","63,679,187.7103",
"2018","63,065,486.9891",
"2017","62,491,861.4693",
"2016","62,491,861.4693",
"2015","62,491,861.4693",
"2014","57,648,025.1799",
"2013","57,648,025.1799",
"2012","57,280,880.6475",
"2011","57,280,880.6475",
"2010","57,280,880.6475",
"2009","57,280,880.6475",
"2008","56,642,690.0863",
"2007","56,642,690.0863",
"2006","21,487,273.520092",
"2005","21,487,273.520092",
"2004","21,487,273.520092",
"2003","21,487,273.520092",
"2002","21,487,273.520092",
"2001","21,487,273.520092",
"2000","21,487,273.520092",
"1999","21,487,273.520092",
