"Periodo","Superficie_total_de_ANP_en_zonas_de_montaña",
"2024","21,590,661.490543",
"2023","20,708,858",
"2022","20,697,797.338247",
"2021","20,697,797.338247",
"2020","20,586,636.895447",
"2019","20,586,636.895447",
"2018","20,586,636.895447",
"2017","20,586,636.895447",
"2016","20,385,736.235447",
"2015","18,915,625.038247",
"2014","18,906,498.681378",
"2013","18,906,498.681378",
"2012","18,852,908.002748",
"2011","18,852,908.002748",
"2010","18,852,908.002748",
"2009","18,852,908.002748",
"2008","17,844,212.990848",
"2007","17,794,172.181566",
"2006","16,726,668.582266",
"2005","16,726,668.582266",
"2004","16,051,020.149926",
"2003","16,051,020.149926",
"2002","15,504,205.74654",
"2001","11,318,808.12567",
"2000","10,881,822.45637",
"1999","6,125,524.491544",
