"Periodo","Superficie_terrestre_calculada_cubierta_por_áreas_naturales_protegidas_federales_en_el_año_t",
"2024","23,013,380.39",
"2023","22,013,472.13",
"2022","21,373,225.6",
"2021","21,356,975.56",
"2020","21,245,815.12",
"2019","21,245,815.12",
"2018","21,245,815.12",
"2017","21,245,815.12",
"2016","21,230,296.9",
"2015","20,822,679.56",
"2014","20,813,553.2",
"2013","20,813,553.2",
"2012","20,813,553.2",
"2011","20,806,500.46",
"2010","20,806,500.46",
"2009","20,672,646.07",
"2008","19,743,616.03",
"2007","19,689,317.72",
"2006","19,186,833.98",
"2005","19,186,833.98",
"2004","18,459,287.08",
"2003","18,459,287.08",
"2002","18,452,908.71",
"2001","18,452,908.71",
"2000","18,442,408.9",
"1999","17,969,980.4",
"1998","17,748,659.04",
"1997","17,088,130.19",
"1996","16,704,562.74",
"1995","16,589,312.29",
"1994","16,306,310.84",
"1993","14,913,713.51",
