"Periodo","Superficie_terrestre_nacional_en_el_año_t",
"2024","196,437,500",
"2023","196,437,500",
"2022","196,437,500",
"2021","196,437,500",
"2020","196,437,500",
"2019","196,437,500",
"2018","196,437,500",
"2017","196,437,500",
"2016","196,437,500",
"2015","196,437,500",
"2014","196,437,500",
"2013","196,437,500",
"2012","196,437,500",
"2011","196,437,500",
"2010","196,437,500",
"2009","196,437,500",
"2008","196,437,500",
"2007","196,437,500",
"2006","196,437,500",
"2005","196,437,500",
"2004","196,437,500",
"2003","196,437,500",
"2002","196,437,500",
"2001","196,437,500",
"2000","196,437,500",
"1999","196,437,500",
"1998","196,437,500",
"1997","196,437,500",
"1996","196,437,500",
"1995","196,437,500",
"1994","196,437,500",
"1993","196,437,500",
