"Indicador","Área geográfica","Periodo","DATA"
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Cultivos anuales. Producción a cielo abierto. Soya (Toneladas) Bienal","00 Estados Unidos Mexicanos","2019",""
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Cultivos perennes. Producción a cielo abierto. Uva (Toneladas) Bienal","00 Estados Unidos Mexicanos","2019",""
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Cultivos anuales. Producción a cielo abierto. Arroz (Toneladas) Bienal","00 Estados Unidos Mexicanos","2019",""
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Cultivos anuales. Producción a cielo abierto. Chile (Toneladas) Bienal","00 Estados Unidos Mexicanos","2019",""
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Cultivos perennes. Producción a cielo abierto. Café (Toneladas) Bienal","00 Estados Unidos Mexicanos","2019",""
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Cultivos perennes. Producción a cielo abierto. Cacao (Toneladas) Bienal","00 Estados Unidos Mexicanos","2019",""
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Cultivos perennes. Producción a cielo abierto. Fresa (Toneladas) Bienal","00 Estados Unidos Mexicanos","2019",""
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Cultivos perennes. Producción a cielo abierto. Limón (Toneladas) Bienal","00 Estados Unidos Mexicanos","2019",""
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Cultivos perennes. Producción a cielo abierto. Mango (Toneladas) Bienal","00 Estados Unidos Mexicanos","2019",""
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Cultivos anuales. Producción a cielo abierto. Cebolla (Toneladas) Bienal","00 Estados Unidos Mexicanos","2019",""
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Cultivos anuales. Producción a cielo abierto. Calabaza (Toneladas) Bienal","00 Estados Unidos Mexicanos","2019",""
"Economía y Sectores Productivos > Agricultura, ganadería y pesca > Agricultura > Cultivos perennes. Producción a cielo abierto. Manzana (Toneladas) Bienal","00 Estados Unidos Mexicanos","2019",""
