"iso","adm1","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"MEX",16,2001,1156.30917393210585045,417284.106957504985175
"MEX",16,2002,320.74631146245663738,136780.769213336996437
"MEX",16,2003,179.83524497109915434,84874.848231488058444
"MEX",16,2004,486.05363365683352950,224193.091298412571258
"MEX",16,2005,469.31695440828540026,208568.579631333024277
"MEX",16,2006,555.09044524540147722,267121.118619606554700
"MEX",16,2007,866.69492353869797275,416000.594183611883505
"MEX",16,2008,539.13153946654070559,244174.853461194893250
"MEX",16,2009,718.90579364254970318,332819.516956698667149
"MEX",16,2010,621.26828122106080778,298698.550917955696876
"MEX",16,2011,797.13313354360027011,340060.648547772882433
"MEX",16,2012,714.05053936285404798,335830.152868828975867
"MEX",16,2013,733.42177766068145386,372256.529615992760923
"MEX",16,2014,594.58744427545120860,299271.640427811623241
"MEX",16,2015,639.20147700774183470,319459.64664874693626
"MEX",16,2016,996.76949668617051311,524247.138093362183262
"MEX",16,2017,929.22838396599145840,449184.232286999811455
"MEX",16,2018,1731.97674852429978310,792201.352700651371768
"MEX",16,2019,886.89397936794787384,406189.974685321057437
"MEX",16,2020,694.76416592149502985,332240.132601136717425
"MEX",16,2021,1531.30287795864360462,571238.261544852908625
"MEX",16,2022,1054.41916140541477871,452029.964681345538024
"MEX",16,2023,803.87875057775091818,354240.985411121087286
"MEX",16,2024,1494.32339414601395483,503543.969557814970428
