name,adm2__id
"Acuitzio","1"
"Aguililla","2"
"Álvaro Obregón","3"
"Angamacutiro","4"
"Angangueo","5"
"Apatzingán","6"
"Aporo","7"
"Aquila","8"
"Ario","9"
"Arteaga","10"
"Briseñas","11"
"Buenavista","12"
"Carácuaro","13"
"Charapan","14"
"Charo","15"
"Chavinda","16"
"Cherán","17"
"Chilchota","18"
"Chinicuila","19"
"Chucándiro","20"
"Churintzio","21"
"Churumuco","22"
"Coahuayana","23"
"Coalcomán de Vázquez Pallares","24"
"Coeneo","25"
"Cojumatlán de Régules","26"
"Contepec","27"
"Copándaro","28"
"Cotija","29"
"Cuitzeo","30"
"Ecuandureo","31"
"Epitacio Huerta","32"
"Erongarícuaro","33"
"Gabriel Zamora","34"
"Hidalgo","35"
"Huandacareo","36"
"Huaniqueo","37"
"Huetamo","38"
"Huiramba","39"
"Indaparapeo","40"
"Irimbo","41"
"Ixtlán","42"
"Jacona","43"
"Jiménez","44"
"Jiquilpan","45"
"José Sixto Verduzco","46"
"Juárez","47"
"Jungapeo","48"
"La Huacana","49"
"La Piedad","50"
"Lagunillas","51"
"Lázaro Cárdenas","52"
"Los Reyes","53"
"Madero","54"
"Maravatío","55"
"Marcos Castellanos","56"
"Morelia","57"
"Morelos","58"
"Múgica","59"
"Nahuatzen","60"
"Nocupétaro","61"
"Nuevo Parangaricutiro","62"
"Nuevo Urecho","63"
"Numarán","64"
"Ocampo","65"
"Pajacuarán","66"
"Panindícuaro","67"
"Paracho","68"
"Parácuaro","69"
"Pátzcuaro","70"
"Penjamillo","71"
"Peribán","72"
"Purépero","73"
"Puruándiro","74"
"Queréndaro","75"
"Quiroga","76"
"Sahuayo","77"
"Salvador Escalante","78"
"San Lucas","79"
"Santa Ana Maya","80"
"Senguio","81"
"Susupuato","82"
"Tacámbaro","83"
"Tancítaro","84"
"Tangamandapio","85"
"Tangancícuaro","86"
"Tanhuato","87"
"Taretan","88"
"Tarímbaro","89"
"Tepalcatepec","90"
"Tingambato","91"
"Tingüindín","92"
"Tiquicheo de Nicolás Romero","93"
"Tlalpujahua","94"
"Tlazazalca","95"
"Tocumbo","96"
"Tumbiscatío","97"
"Turicato","98"
"Tuxpan","99"
"Tuzantla","100"
"Tzintzuntzan","101"
"Tzitzio","102"
"Uruapan","103"
"Venustiano Carranza","104"
"Villamar","105"
"Vista Hermosa","106"
"Yurécuaro","107"
"Zacapu","108"
"Zamora","109"
"Zináparo","110"
"Zinapécuaro","111"
"Ziracuaretiro","112"
"Zitácuaro","113"
