"drivers_type","loss_year","loss_area_ha","gross_carbon_emissions_Mg"
"Hard commodities",2001,3.9315091189073357,1825.5951526688375
"Logging",2001,995.3146729562843,315567.03096119815
"Other natural disturbances",2001,78.71067100773327,21445.093157903844
"Permanent agriculture",2001,2673.572155845192,1111981.1042166352
"Settlements & Infrastructure",2001,23.980905746542966,9828.41942534659
"Shifting cultivation",2001,1.7443882340939671,1028.0887713867885
"Unknown",2001,98.1036788329872,32378.69635864488
"Wildfire",2001,236.69601122789052,62019.30661700646
"Hard commodities",2002,0.5827315602094185,246.4280618649949
"Logging",2002,140.97814337643126,51735.353079061715
"Other natural disturbances",2002,26.059773243249776,8201.966992970103
"Permanent agriculture",2002,1314.307749111693,545155.3105878424
"Settlements & Infrastructure",2002,9.662271155950522,3729.066696264517
"Shifting cultivation",2002,0.8784500998003472,356.4914673488131
"Unknown",2002,50.858877436011284,15171.512882506024
"Wildfire",2002,83.11985974871853,15922.506094716846
"Hard commodities",2003,6.416330252294922,2523.2391309555583
"Logging",2003,79.45909483979166,36864.04616706051
"Other natural disturbances",2003,21.664962534991318,7065.206706287801
"Permanent agriculture",2003,980.8838073919438,414308.56163139764
"Settlements & Infrastructure",2003,4.430008052815756,1476.0924493699295
"Unknown",2003,42.74038618626735,12690.31668898413
"Wildfire",2003,26.917699099499792,6871.754923728224
"Hard commodities",2004,3.799698919767795,1508.2235618151067
"Logging",2004,306.1455229663989,139109.42181496043
"Other natural disturbances",2004,40.9336861768598,15091.646882870777
"Permanent agriculture",2004,1733.404705127611,763159.5614962706
"Settlements & Infrastructure",2004,18.397151578779297,7220.033045434682
"Shifting cultivation",2004,0.2901859740755208,166.43033405158857
"Unknown",2004,56.706010602421856,17842.24132092393
"Wildfire",2004,65.51412955538305,29164.863682391617
"Hard commodities",2005,3.579767248453777,1300.5979988112454
"Logging",2005,129.4272470147819,42606.44025197396
"Other natural disturbances",2005,32.1889895378201,8166.185387483566
"Permanent agriculture",2005,1830.4037360381517,794589.4311427468
"Settlements & Infrastructure",2005,22.076915847651918,8018.031946897601
"Unknown",2005,54.748327201380214,16712.28208076515
"Wildfire",2005,60.008156645738936,13152.421865397535
"Hard commodities",2006,10.712785538692488,4646.179703938975
"Logging",2006,235.8592116503256,99498.94007677643
"Other natural disturbances",2006,37.97209911878471,15117.215850022867
"Permanent agriculture",2006,2864.4364235780163,1324215.1986066478
"Settlements & Infrastructure",2006,29.05120504474827,10455.085540744794
"Unknown",2006,88.19613770181644,27828.725398436793
"Wildfire",2006,116.70654678913301,29884.05719693926
"Hard commodities",2007,7.1448219674142806,3229.9499862264925
"Logging",2007,448.34236781105255,186364.9627713781
"Other natural disturbances",2007,53.6577568325217,22023.214154612127
"Permanent agriculture",2007,3940.8036798157505,1845726.2535140214
"Settlements & Infrastructure",2007,27.353731582215712,10235.380336854361
"Shifting cultivation",2007,0.0725466593359375,39.23147433156699
"Unknown",2007,107.66262681565102,36143.997428317576
"Wildfire",2007,154.94698862897573,46912.57525137298
"Hard commodities",2008,36.14791081671657,15491.170531313306
"Logging",2008,251.17118037349712,93049.36791212487
"Other natural disturbances",2008,31.55099476153863,10999.623455058525
"Permanent agriculture",2008,2689.1459714415732,1188986.1345657723
"Settlements & Infrastructure",2008,32.80277460806207,12016.125758552742
"Unknown",2008,90.76142479775609,28768.02321808349
"Wildfire",2008,81.43831321236439,23574.07606179868
"Hard commodities",2009,7.132330049337023,3399.64693242513
"Logging",2009,381.89951888484296,154659.69412098915
"Other natural disturbances",2009,67.07264297131839,24336.98209045426
"Permanent agriculture",2009,1910.943646971012,863624.8658435724
"Settlements & Infrastructure",2009,20.321926215133466,8317.433621814554
"Unknown",2009,70.89316338111762,23153.16421259082
"Wildfire",2009,99.8494776782053,30226.803344123044
"Hard commodities",2010,21.470782571089405,9696.258153371473
"Logging",2010,332.79996471138,151790.76312964462
"Other natural disturbances",2010,37.35984118267036,14923.273321315606
"Permanent agriculture",2010,2082.0461305211206,951727.7497098923
"Settlements & Infrastructure",2010,18.756454714091795,6904.002005356074
"Unknown",2010,71.87894341439888,23957.88465421949
"Wildfire",2010,100.89521168714515,42574.67600163786
"Hard commodities",2011,29.697055386484376,13231.088993233083
"Logging",2011,459.49049823186544,163684.67789776335
"Other natural disturbances",2011,70.78051709111763,23308.354371774905
"Permanent agriculture",2011,2461.264454378491,1176789.6420094687
"Settlements & Infrastructure",2011,29.280781011393234,11704.269395759455
"Unknown",2011,73.51047823612198,23896.18759376645
"Wildfire",2011,133.7303531835612,42137.74563489461
"Hard commodities",2012,13.604357458553604,6517.314883802615
"Logging",2012,271.37596191349496,122622.66695656246
"Other natural disturbances",2012,56.1889247440484,21264.407739043232
"Permanent agriculture",2012,2986.700187044648,1365902.7861439115
"Settlements & Infrastructure",2012,12.21057318993381,5116.308254334873
"Shifting cultivation",2012,0.14640448692057292,61.388037801381735
"Unknown",2012,180.57416679355248,58492.53689212024
"Wildfire",2012,168.94726481446503,43606.048349765755
"Hard commodities",2013,29.673888672686626,14384.698262788708
"Logging",2013,377.73545820635627,179684.59582819242
"Other natural disturbances",2013,103.2008305716276,40880.170347513354
"Permanent agriculture",2013,5790.468979234746,2610221.030406789
"Settlements & Infrastructure",2013,21.249087299657116,8644.82425583676
"Shifting cultivation",2013,6.065828275594619,2724.6962739016944
