"iso","adm1","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"MEX",16,2001,4112.05399296962553567,1556073.335040103830680
"MEX",16,2002,1626.44785573206393239,640518.6327961522336369
"MEX",16,2003,1162.51228835760557717,481799.21739101148120025
"MEX",16,2004,2225.19109090129723744,973262.422118190887091
"MEX",16,2005,2132.43313953397912970,884545.390501964305939
"MEX",16,2006,3382.93440942151643915,1511645.401494725165057
"MEX",16,2007,4739.98452011291177698,2150675.5667152828104867
"MEX",16,2008,3213.01857001150834782,1372884.5214841892078952
"MEX",16,2009,2558.11270615096617263,1107718.590541978273430
"MEX",16,2010,2665.20732880189419708,1201574.6057757520989615
"MEX",16,2011,3257.75413751903433429,1454751.961436804966566
"MEX",16,2012,3689.74784044561664711,1623583.4569796156482357
"MEX",16,2013,6825.93537327526510581,3016781.7317745706112345
"MEX",16,2014,4629.53218800157605797,2136804.561770115444244
"MEX",16,2015,5129.10764444234022439,2391201.466362530592939
"MEX",16,2016,7410.74682961528174274,3628906.997905277295893
"MEX",16,2017,5922.87786481329696101,2884308.8718069590318643
"MEX",16,2018,10031.63003602771675351,4731714.2815182999154257
"MEX",16,2019,6496.73904448483853587,3115626.524530102239152
"MEX",16,2020,4618.32331178061712214,2237187.674871105111672
"MEX",16,2021,6855.64650941179704602,3128995.445790832412831
"MEX",16,2022,5623.62701214811713369,2779326.0118993598603696
"MEX",16,2023,5277.88195204145346226,2595387.004324626235278
"MEX",16,2024,7636.62405449787095562,3409634.6182707845067972
