ENTIDAD,CULTIVO,ESTIMACION,LIMITE_DE_CONFIANZA_INFERIOR,LIMITE_DE_CONFIANZA_SUPERIOR,COEFICIENTE_DE_VARIACION,ESTATUS
Coahuila de Zaragoza,Superficie sembrada de Algodón,10992.91,9921.37,12064.44,4.97,Cifras Definitivas
Chihuahua,Superficie sembrada de Avena forrajera,105702.14,101979.34,109424.93,1.80,Cifras Definitivas
Distrito Federal,Superficie sembrada de Avena forrajera,4261.83,3896.17,4627.48,4.38,Cifras Definitivas
Hidalgo,Superficie sembrada de Cebada,79121.61,75723.84,82519.39,2.19,Cifras Definitivas
Tlaxcala,Superficie sembrada de Cebada,33401.36,32499.86,34302.86,1.38,Cifras Definitivas
Baja California,Superficie sembrada de Cebolla,8228.90,5664.41,10793.38,15.90,Cifras Definitivas
Morelos,Superficie sembrada de Cebolla,2051.58,1933.12,2170.04,2.95,Cifras Definitivas
Chihuahua,Superficie sembrada de Chile,20533.16,19886.81,21179.52,1.61,Cifras Definitivas
Zacatecas,Superficie sembrada de Chile,32896.02,31382.90,34409.14,2.35,Cifras Definitivas
Durango,Superficie sembrada de Frijol,204043.50,201508.56,206578.45,0.63,Cifras Definitivas
Zacatecas,Superficie sembrada de Frijol,698275.56,688542.74,708008.39,0.71,Cifras Definitivas
Baja California Sur,Superficie sembrada de Jitomate,2454.40,1923.55,2985.25,11.04,Cifras Definitivas
Coahuila de Zaragoza,Superficie sembrada de Jitomate,559.57,402.57,716.57,14.32,Cifras Definitivas
Campeche,Superficie sembrada de Maíz grano,186461.29,183182.27,189740.32,0.90,Cifras Definitivas
Chiapas,Superficie sembrada de Maíz grano,841273.78,830334.81,852212.74,0.66,Cifras Definitivas
Guanajuato,Superficie sembrada de Maíz grano,471619.47,465770.42,477468.51,0.63,Cifras Definitivas
Guerrero,Superficie sembrada de Maíz grano,525252.29,518501.27,532003.30,0.66,Cifras Definitivas
Hidalgo,Superficie sembrada de Maíz grano,261554.97,258252.30,264857.64,0.64,Cifras Definitivas
Jalisco,Superficie sembrada de Maíz grano,595818.32,590231.73,601404.90,0.48,Cifras Definitivas
Ciudad de México,Superficie sembrada de Maíz grano,453266.60,447487.98,459045.22,0.65,Cifras Definitivas
Michoacán de Ocampo,Superficie sembrada de Maíz grano,508053.17,498721.56,517384.78,0.94,Cifras Definitivas
Oaxaca,Superficie sembrada de Maíz grano,571272.82,561712.77,580832.88,0.85,Cifras Definitivas
Puebla,Superficie sembrada de Maíz grano,537377.45,528198.08,546556.82,0.87,Cifras Definitivas
Sinaloa,Superficie sembrada de Maíz grano,406334.60,401736.62,410932.58,0.58,Cifras Definitivas
Tamaulipas,Superficie sembrada de Maíz grano,132838.68,127640.18,138037.19,2.00,Cifras Definitivas
Tlaxcala,Superficie sembrada de Maíz grano,128212.34,126453.64,129971.03,0.7,Cifras Definitivas
Veracruz de Ignacio de la Llave,Superficie sembrada de Maíz grano,547934.43,535432.06,560436.80,1.16,Cifras Definitivas
Yucatán,Superficie sembrada de Maíz grano,172996.97,153305.59,192688.36,5.81,Cifras Definitivas
Coahuila de Zaragoza,Superficie sembrada de Melón y sandía,4065.85,3846.58,4285.12,2.75,Cifras Definitivas
Guanajuato,Superficie sembrada de Sorgo grano,215329.81,210774.32,219885.30,1.08,Cifras Definitivas
Morelos,Superficie sembrada de Sorgo grano,38254.92,37321.81,39188.04,1.24,Cifras Definitivas
Tamaulipas,Superficie sembrada de Sorgo grano,882205.48,817799.46,946611.50,3.72,Cifras Definitivas
Baja California,Superficie sembrada de Trigo grano,71379.57,68041.94,74717.20,2.39,Cifras Definitivas
Sonora,Superficie sembrada de Trigo grano,206174.07,197496.21,214851.93,2.15,Cifras Definitivas
Baja California,Superficie plantada de Alfalfa,32875.96,25291.12,40460.79,11.77,Cifras Definitivas
Chihuahua,Superficie plantada de Alfalfa,62977.09,58025.49,67928.68,4.01,Cifras Definitivas
Guanajuato,Superficie plantada de Alfalfa,39437.67,38253.58,40621.76,1.53,Cifras Definitivas
Hidalgo,Superficie plantada de Alfalfa,27502.14,26801.54,28202.74,1.30,Cifras Definitivas
Puebla,Superficie plantada de Alfalfa,18050.66,17136.54,18964.78,2.58,Cifras Definitivas
Chiapas,Superficie plantada de Café,250759.4,243554.13,257964.67,1.47,Cifras Definitivas
Oaxaca,Superficie plantada de Café,156196.19,150165.81,162226.57,1.97,Cifras Definitivas
Puebla,Superficie plantada de Café,66045.20,60059.05,72031.35,4.62,Cifras Definitivas
Colima,Superficie plantada de Caña de azúcar,11989.52,11377.39,12601.64,2.60,Cifras Definitivas
Jalisco,Superficie plantada de Caña de azúcar,59147.32,57788.90,60505.74,1.17,Cifras Definitivas
Morelos,Superficie plantada de Caña de azúcar,20392.27,19906.63,20877.90,1.22,Cifras Definitivas
Nayarit,Superficie plantada de Caña de azúcar,37006.2,36214.81,37797.60,1.09,Cifras Definitivas
Oaxaca,Superficie plantada de Caña de azúcar,52305.53,50069.58,54541.47,2.18,Cifras Definitivas
Quintana Roo,Superficie plantada de Caña de azúcar,24892.87,24125.95,25659.80,1.57,Cifras Definitivas
San Luis Potosí,Superficie plantada de Caña de azúcar,70712.90,68248.15,73177.65,1.78,Cifras Definitivas
Tamaulipas,Superficie plantada de Caña de azúcar,51187.62,47348.27,55026.96,3.83,Cifras Definitivas
Veracruz de Ignacio de la Llave,Superficie plantada de Caña de azúcar,257958.46,250027.79,265889.12,1.57,Cifras Definitivas
Colima,Superficie plantada de Limón,20419.13,18716.97,22121.29,4.25,Cifras Definitivas
Michoacán de Ocampo,Superficie plantada de Limón,33481.39,32100.91,34861.86,2.10,Cifras Definitivas
Michoacán de Ocampo,Superficie plantada de Mango,22247.95,21277.96,23217.93,2.22,Cifras Definitivas
Nayarit,Superficie plantada de Mango,36338.45,35713.58,36963.32,0.88,Cifras Definitivas
Puebla,Superficie plantada de Naranja,21175.30,19932.61,22418.00,2.99,Cifras Definitivas
San Luis Potosí,Superficie plantada de Naranja,35396.82,33499.95,37293.70,2.73,Cifras Definitivas
Veracruz de Ignacio de la Llave,Superficie plantada de Naranja,172616.05,167447.75,177784.34,1.53,Cifras Definitivas
Campeche,Superficie plantada de Pastos,395590.2,388711.02,402469.38,0.89,Cifras Definitivas
Colima,Superficie plantada de Pastos,57464.94,54801.95,60127.92,2.36,Cifras Definitivas
Chiapas,Superficie plantada de Pastos,546330,522659.90,570000.10,2.21,Cifras Definitivas
Nuevo León,Superficie plantada de Pastos,143397.68,139713.95,147081.40,1.31,Cifras Definitivas
Oaxaca,Superficie plantada de Pastos,332471.85,314989.42,349954.29,2.68,Cifras Definitivas
Quintana Roo,Superficie plantada de Pastos,91372.80,84164.03,98581.58,4.03,Cifras Definitivas
Tabasco,Superficie plantada de Pastos,294545.71,288388.79,300702.63,1.07,Cifras Definitivas
Yucatán,Superficie plantada de Pastos,240118.06,236339.15,243896.97,0.80,Cifras Definitivas
Tabasco,Superficie plantada de Plátano,10907.63,10367.19,11448.07,2.53,Cifras Definitivas
Coahuila de Zaragoza,Superficie cosechada de Algodón,10961.60,9889.07,12034.14,4.99,Cifras Definitivas
Chihuahua,Superficie cosechada de Avena forrajera,98776.31,94791.34,102761.28,2.06,Cifras Definitivas
Distrito Federal,Superficie cosechada de Avena forrajera,4228.22,3862.45,4593.99,4.41,Cifras Definitivas
Hidalgo,Superficie cosechada de Cebada,77120.17,73620.18,80620.17,2.32,Cifras Definitivas
Tlaxcala,Superficie cosechada de Cebada,33054.49,32144.93,33964.05,1.40,Cifras Definitivas
Baja California,Superficie cosechada de Cebolla,8047.26,5439.2,10655.32,16.54,Cifras Definitivas
Morelos,Superficie cosechada de Cebolla,1990.7,1859.89,2121.52,3.35,Cifras Definitivas
Chihuahua,Superficie cosechada de Chile,20463.2,19812.64,21113.76,1.62,Cifras Definitivas
Zacatecas,Superficie cosechada de Chile,32455.15,30926.42,33983.89,2.40,Cifras Definitivas
Durango,Superficie cosechada de Frijol,196347.10,193656.47,199037.73,0.70,Cifras Definitivas
Zacatecas,Superficie cosechada de Frijol,645557.83,633226.85,657888.82,0.97,Cifras Definitivas
Baja California Sur,Superficie cosechada de Jitomate,2442.18,1911.23,2973.14,11.09,Cifras Definitivas
Coahuila de Zaragoza,Superficie cosechada de Jitomate,550.41,396.93,703.88,14.23,Cifras Definitivas
Campeche,Superficie cosechada de Maíz grano,171777.17,167776.19,175778.16,1.19,Cifras Definitivas
Chiapas,Superficie cosechada de Maíz grano,805899.59,793587.76,818211.41,0.78,Cifras Definitivas
Guanajuato,Superficie cosechada de Maíz grano,441102.34,433378.72,448825.97,0.89,Cifras Definitivas
Guerrero,Superficie cosechada de Maíz grano,490499.98,482847.48,498152.48,0.80,Cifras Definitivas
Hidalgo,Superficie cosechada de Maíz grano,242486.97,238569.06,246404.88,0.82,Cifras Definitivas
Jalisco,Superficie cosechada de Maíz grano,581721.84,575592.36,587851.32,0.54,Cifras Definitivas
Ciudad de México,Superficie cosechada de Maíz grano,434893.94,428423.00,441364.87,0.76,Cifras Definitivas
Michoacán de Ocampo,Superficie cosechada de Maíz grano,491644.34,481426.64,501862.04,1.06,Cifras Definitivas
Oaxaca,Superficie cosechada de Maíz grano,549436.75,539200.19,559673.30,0.95,Cifras Definitivas
Puebla,Superficie cosechada de Maíz grano,514324.01,504492.77,524155.24,0.98,Cifras Definitivas
Sinaloa,Superficie cosechada de Maíz grano,399183.09,393989.41,404376.78,0.66,Cifras Definitivas
Tamaulipas,Superficie cosechada de Maíz grano,124755.38,118804.98,130705.77,2.43,Cifras Definitivas
Tlaxcala,Superficie cosechada de Maíz grano,125437.84,123631.85,127243.83,0.73,Cifras Definitivas
Veracruz de Ignacio de la Llave,Superficie cosechada de Maíz grano,523180.23,509613.68,536746.77,1.32,Cifras Definitivas
Yucatán,Superficie cosechada de Maíz grano,151326.81,131059.69,171593.93,6.83,Cifras Definitivas
Coahuila de Zaragoza,Superficie cosechada de Melón y sandía,4062.05,3842.8,4281.31,2.75,Cifras Definitivas
Guanajuato,Superficie cosechada de Sorgo grano,209099.50,204141.81,214057.19,1.21,Cifras Definitivas
Morelos,Superficie cosechada de Sorgo grano,38033.67,37099.85,38967.50,1.25,Cifras Definitivas
Tamaulipas,Superficie cosechada de Sorgo grano,851988.32,790185.20,913791.44,3.70,Cifras Definitivas
Baja California,Superficie cosechada de Trigo grano,70185.48,66757.17,73613.79,2.49,Cifras Definitivas
Sonora,Superficie cosechada de Trigo grano,205780.47,197128.61,214432.34,2.15,Cifras Definitivas
Baja California,Superficie cosechada de Alfalfa,32545.25,24954.85,40135.65,11.90,Cifras Definitivas
Chihuahua,Superficie cosechada de Alfalfa,62577.56,57618.80,67536.32,4.04,Cifras Definitivas
Guanajuato,Superficie cosechada de Alfalfa,39085.35,37879.89,40290.8,1.57,Cifras Definitivas
Hidalgo,Superficie cosechada de Alfalfa,27415.37,26714.30,28116.44,1.30,Cifras Definitivas
Puebla,Superficie cosechada de Alfalfa,18011.07,17094.54,18927.60,2.60,Cifras Definitivas
