TIPO_DATO,ENTIDAD,IV22,IV22_MEN_1_AÑO,IV22_1_A_2_AÑOS,IV22_MAS_2_A_3_AÑOS,IV22_MAY_3_AÑOS,IV22_2_2,IV22_2_3,IV22_2_4,IV22_2_5,IV22_2_6,IV22_2_7,IV22_2_1,IV22_3CNT,IV22_3_1PS,IV23_1,IV23_2,IV23_3,IV23_NO_ESPECIFICADA,IV26,IV26_1_1,IV26_1_2,IV26_1_2_1,IV26_1_3,IV26_1_5,IV26_1_5_1,IV26_1_5_2,IV26_1_4,ESTATUS
Estimación,Nacional,26923314.00,6184852.00,5545060.00,5229149.00,9964253.00,3087584.00,8117743.00,778820.00,8014706.00,2256958.00,3423603.00,1243900.00,36313458.00,5.46,5255522.00,13595922.00,7311108.00,760762.00,12664795.00,3387745.00,8074334.00,329498.00,133982.00,958754.00,2.00,8.00,109980.00,Cifras Definitivas
Límite de confianza inferior,Nacional,25765917.00,5993336.00,5080568.00,4228871.00,9829448.00,2967645.00,8117743.00,760699.00,7866289.00,2118886.00,3322116.00,1082012.00,33905068.00,5.41,5027361.00,13307168.00,6208425.00,734586.00,10876206.00,2870026.00,6869932.00,256406.00,115297.00,802922.00,2.00,8.00,101262.00,Cifras Definitivas
Límite de confianza superior,Nacional,28080710.00,6376370.00,6009555.00,6229429.00,10099050.00,3207520.00,9242624.00,796944.00,8163122.00,2395026.00,3525095.00,1156233.00,38721856.00,5.51,5483687.00,13884673.00,8413794.00,786933.00,14453384.00,3905464.00,9278736.00,402589.00,152667.00,1114586.00,2.00,8.00,118698.00,Cifras Definitivas
Coeficiente de variación,Nacional,2.19,1.58,4.27,9.76,0.69,1.98,7.07,1.19,0.94,3.12,1.51,1.69,3.38,0.44,2.22,1.08,8.00,1.76,7.21,7.8,7.61,11.32,7.12,8.29,0.67,0.70,4.04,Cifras Definitivas
Estimación,Aguascalientes,240752.00,56887.00,50704.00,45806.00,87355.00,54119.00,32146.00,3234.00,27985.00,94070.00,23642.00,5556.00,1662601.00,4.67,31263.00,87340.00,117948.00,4201.00, , , , , , , , ,3234.00,Cifras Definitivas
Límite de confianza inferior,Aguascalientes,227679.00,53170.00,46734.00,42722.00,81498.00,48083.00,32146.00,2725.00,25641.00,84717.00,21031.00,4032.00,1474054.00,4.61,28417.00,83431.00,104385.00,3505.00, , , , , , , , ,2725.00,Cifras Definitivas
Límite de confianza superior,Aguascalientes,253824.00,60605.00,54673.00,48890.00,93212.00,60155.00,35139.00,3743.00,30329.00,103424.00,26252.00,5513.00,1851147.00,4.74,34110.00,91249.00,131511.00,4897.00, , , , , , , , ,3743.00,Cifras Definitivas
Coeficiente de variación,Aguascalientes,2.77,3.34,3.99,3.44,3.42,5.69,4.75,8.03,4.27,5.07,5.63,7.92,5.79,0.75,4.65,2.28,6.00,8.45, , , , , , , , ,8.03,Cifras Definitivas
Estimación,Baja California,363073.00,0.00,0.00,48495.00,47171.00,22050.00,0.00,2559.00,26201.00,38278.00,0.00,3301.00,803669.00,5.58,41154.00,174769.00,146280.00,870.00, , , , , , , , ,2559.00,Cifras Definitivas
Límite de confianza inferior,Baja California,220533.00,0.00,0.00,32207.00,43018.00,19112.00,0.00,2097.00,23028.00,33049.00,0.00,1930.00,687969.00,5.09,34528.00,88061.00,80157.00,462.00, , , , , , , , ,2097.00,Cifras Definitivas
Límite de confianza superior,Baja California,505612.00,0.00,0.00,64782.00,51324.00,24987.00,0.00,3020.00,29374.00,43507.00,0.00,3808.00,919370.00,6.07,47780.00,261478.00,212403.00,1278.00, , , , , , , , ,3020.00,Cifras Definitivas
Coeficiente de variación,Baja California,20.03,0.00,0.00,17.14,4.49,6.80,0.00,9.20,6.18,6.97,0.00,16.70,7.35,4.51,8.22,25.31,23.00,23.94, , , , , , , , ,9.20,Cifras Definitivas
Estimación,Baja California Sur,195173.00,40166.00,39826.00,36499.00,78682.00,29557.00,31527.00,4229.00,69118.00,15969.00,41320.00,3453.00,237905.00,4.75,48535.00,103625.00,42038.00,975.00, , , , , , , , ,4229.00,Cifras Definitivas
Límite de confianza inferior,Baja California Sur,187891.00,37578.00,37372.00,33007.00,74776.00,26571.00,31527.00,3840.00,63653.00,9454.00,35766.00,695.00,118618.00,4.53,42790.00,96586.00,33314.00,603.00, , , , , , , , ,3840.00,Cifras Definitivas
Límite de confianza superior,Baja California Sur,202456.00,42754.00,42280.00,39991.00,82587.00,32544.00,35974.00,4618.00,74583.00,22483.00,46874.00,1474.00,357193.00,4.97,54280.00,110664.00,50762.00,1348.00, , , , , , , , ,4618.00,Cifras Definitivas
Coeficiente de variación,Baja California Sur,1.90,3.29,3.14,4.88,2.53,5.16,7.20,4.69,4.03,20.81,6.86,18.33,25.58,2.38,6.04,3.47,11.00,19.49, , , , , , , , ,4.69,Cifras Definitivas
Estimación,Campeche,449574.00,111737.00,78680.00,80934.00,178223.00,68113.00,124255.00,14702.00,177459.00,13915.00,30679.00,20451.00,98514.00,4.34,50293.00,354999.00,38644.00,5638.00, , , , , , , , ,14702.00,Cifras Definitivas
Límite de confianza inferior,Campeche,438341.00,107592.00,73809.00,76479.00,171957.00,64956.00,124255.00,13979.00,171030.00,12001.00,26415.00,12697.00,88517.00,4.14,44991.00,344131.00,30766.00,4679.00, , , , , , , , ,13979.00,Cifras Definitivas
Límite de confianza superior,Campeche,460807.00,115882.00,83551.00,85389.00,184489.00,71270.00,131565.00,15426.00,183887.00,15828.00,34943.00,18533.00,108512.00,4.54,55594.00,365867.00,46522.00,6597.00, , , , , , , , ,15426.00,Cifras Definitivas
