TIPO_DATO,ENTIDAD,IV27_1,IV27_2,IV27_3,IV27_3_1,IV27_NO_CLASIFICADOS,ESTATUS
Existencias,Nacional,1150010.00,2201686.00,8227845.00,1629968.00,1085254.00,Cifras Definitivas
Límite de confianza inferior,Nacional,793670.00,1886231.00,6454270.00,1208821.00,1070660.00,Cifras Definitivas
Límite de confianza superior,Nacional,1506351.00,2517141.00,10001419.00,2051115.00,1099848.00,Cifras Definitivas
Coeficiente de variación,Nacional,15.81,7.31,11,13.18,0.69,Cifras Definitivas
Existencias,Distrito Federal,2342.00,4162.00,7121.00,762.00,1579.00,Cifras Definitivas
Límite de confianza inferior,Distrito Federal,1855.00,3425.00,6390.00,477.00,1395.00,Cifras Definitivas
Límite de confianza superior,Distrito Federal,2828.00,4899.00,7851,1047.00,1763.00,Cifras Definitivas
Coeficiente de variación,Distrito Federal,10.60,9.04,5.23,19.09,5.95,Cifras Definitivas
Existencias,Puebla,63880.00,78034.00,0.00,0.00,0.00,Cifras Definitivas
Límite de confianza inferior,Puebla,47543.00,61561.00,0.00,0.00,0.00,Cifras Definitivas
Límite de confianza superior,Puebla,80218.00,94508.00,0.00,0.00,0.00,Cifras Definitivas
Coeficiente de variación,Puebla,13.05,10.77,0.00,0.00,0.00,Cifras Definitivas
