COLUMNA,DESCRIPCION,TIPO_DATO,LONGITUD,CODIGO_VALIDO
TIPO_DE_DATO,Es la presentación de la información.,varchar,100,"Estimación,Porcentaje,Total,Limite de confianza inferior,Limite de confianza superior,Coeficiente de variacion"
III13B_N_ALGODON,"Superficie sembrada de Algodón : Área de los terrenos de la unidad de producción, que en el periodo de referencia está cubierta con algodón  Unidad de medida: Hectáreas",float,10.2,0000000000.00-9999999999.99
III13B_N_ARROZ,"Superficie sembrada de Arroz : Área de los terrenos de la unidad de producción, que en el periodo de referencia está cubierta con arroz Unidad de medida: Hectáreas",float,10.2,0000000000.00-9999999999.99
III13B_N_AVENA_FORRAJERA,"Superficie sembrada de Avena forrajera : Área de los terrenos de la unidad de producción, que en el periodo de referencia está cubierta con avena forrajera Unidad de medida: Hectáreas",float,10.2,0000000000.00-9999999999.99
III13B_N_CALABAZA,"Superficie sembrada de Calabaza : Área de los terrenos de la unidad de producción, que en el periodo de referencia está cubierta con calabaza Unidad de medida: Hectáreas",float,10.2,0000000000.00-9999999999.99
III13B_N_CEBADA,"Superficie sembrada de Cebada : Área de los terrenos de la unidad de producción, que en el periodo de referencia está cubierta con cebada Unidad de medida: Hectáreas",float,10.2,0000000000.00-9999999999.99
III13B_N_CEBOLLA,"Superficie sembrada de Cebolla : Área de los terrenos de la unidad de producción, que en el periodo de referencia está cubierta con cebolla Unidad de medida: Hectáreas",float,10.2,0000000000.00-9999999999.99
III13B_N_CHILE,"Superficie sembrada de Chile : Área de los terrenos de la unidad de producción, que en el periodo de referencia está cubierta con chile Unidad de medida: Hectáreas",float,10.2,0000000000.00-9999999999.99
III13B_N_FRIJOL,"Superficie sembrada de Frijol : Área de los terrenos de la unidad de producción, que en el periodo de referencia está cubierta con frijol Unidad de medida: Hectáreas",float,10.2,0000000000.00-9999999999.99
III13B_N_JITOMATE,"Superficie sembrada de Jitomate : Área de los terrenos de la unidad de producción, que en el periodo de referencia está cubierta con jitomate Unidad de medida: Hectáreas",float,10.2,0000000000.00-9999999999.99
III13B_N_MAIZ_GRANO,"Superficie sembrada de Maíz grano : Área de los terrenos de la unidad de producción, que en el periodo de referencia está cubierta con maíz grano Unidad de medida: Hectáreas",float,10.2,0000000000.00-9999999999.99
III13B_N_MELON_Y_SANDIA,"Superficie sembrada de Melón y sandía : Área de los terrenos de la unidad de producción, que en el periodo de referencia está cubierta con melón y sandía  Unidad de medida: Hectáreas",float,10.2,0000000000.00-9999999999.99
III13B_N_SORGO_GRANO,"Superficie sembrada de Sorgo grano : Área de los terrenos de la unidad de producción, que en el periodo de referencia está cubierta con sorgo grano Unidad de medida: Hectáreas",float,10.2,0000000000.00-9999999999.99
III13B_N_TOMATE_VERDE,"Superficie sembrada de Tomate verde : Área de los terrenos de la unidad de producción, que en el periodo de referencia está cubierta con tomate verde Unidad de medida: Hectáreas",float,10.2,0000000000.00-9999999999.99
III13B_N_TRIGO_GRANO,"Superficie sembrada de Trigo grano : Área de los terrenos de la unidad de producción, que en el periodo de referencia está cubierta con trigo grano Unidad de medida: Hectáreas",float,10.2,0000000000.00-9999999999.99
III13B_N_AGUACATE,"Superficie plantada de Aguacate : Área de los terrenos de la unidad de producción, que en el periodo de referencia está cubierta con aguacate Unidad de medida: Hectáreas",float,10.2,0000000000.00-9999999999.99
III13B_N_ALFALFA,"Superficie plantada de Alfalfa : Área de los terrenos de la unidad de producción, que en el periodo de referencia está cubierta con alfalfa Unidad de medida: Hectáreas",float,10.2,0000000000.00-9999999999.99
III13B_N_CACAO,"Superficie plantada de Cacao : Área de los terrenos de la unidad de producción, que en el periodo de referencia está cubierta con cacao Unidad de medida: Hectáreas",float,10.2,0000000000.00-9999999999.99
III13B_N_CAFE,"Superficie plantada de Café : Área de los terrenos de la unidad de producción, que en el periodo de referencia está cubierta con café  Unidad de medida: Hectáreas",float,10.2,0000000000.00-9999999999.99
III13B_N_CAÑA_DE_AZUCAR,"Superficie plantada de Caña de azúcar : Área de los terrenos de la unidad de producción, que en el periodo de referencia está cubierta con caña de azúcar Unidad de medida: Hectáreas",float,10.2,0000000000.00-9999999999.99
III13B_N_LIMON,"Superficie plantada de Limón : Área de los terrenos de la unidad de producción, que en el periodo de referencia está cubierta con limón Unidad de medida: Hectáreas",float,10.2,0000000000.00-9999999999.99
III13B_N_MANGO,"Superficie plantada de Mango : Área de los terrenos de la unidad de producción, que en el periodo de referencia está cubierta con mango Unidad de medida: Hectáreas",float,10.2,0000000000.00-9999999999.99
III13B_N_MANZANA,"Superficie plantada de Manzana : Área de los terrenos de la unidad de producción, que en el periodo de referencia está cubierta con manzana Unidad de medida: Hectáreas",float,10.2,0000000000.00-9999999999.99
III13B_N_NARANJA,"Superficie plantada de Naranja : Área de los terrenos de la unidad de producción, que en el periodo de referencia está cubierta con naranja Unidad de medida: Hectáreas",float,10.2,0000000000.00-9999999999.99
III13B_N_PASTOS,"Superficie plantada de Pastos : Área de los terrenos de la unidad de producción, que en el periodo de referencia está cubierta con pastos  Unidad de medida: Hectáreas",float,10.2,0000000000.00-9999999999.99
III13B_N_PLATANO,"Superficie plantada de Plátano : Área de los terrenos de la unidad de producción, que en el periodo de referencia está cubierta con plátano Unidad de medida: Hectáreas",float,10.2,0000000000.00-9999999999.99
III13D_N_ALGODON,Superficie cosechada de Algodón : Área de los terrenos de la unidad de producción de la cual se obtuvo o se espera obtener cosecha de algodón en el ciclo primavera-verano u otoño-invierno. Unidad de medida: Hectáreas,float,10.2,0000000000.00-9999999999.99
III13D_N_ARROZ,Superficie cosechada de Arroz : Área de los terrenos de la unidad de producción de la cual se obtuvo o se espera obtener cosecha de arroz en el ciclo primavera-verano u otoño-invierno. Unidad de medida: Hectáreas,float,10.2,0000000000.00-9999999999.99
III13D_N_AVENA_FORRAJERA,Superficie cosechada de Avena forrajera : Área de los terrenos de la unidad de producción de la cual se obtuvo o se espera obtener cosecha de avena forrajera en el ciclo primavera-verano u otoño-invierno. Unidad de medida: Hectáreas,float,10.2,0000000000.00-9999999999.99
III13D_N_CALABAZA,Superficie cosechada de Calabaza : Área de los terrenos de la unidad de producción de la cual se obtuvo o se espera obtener cosecha de calabaza en el ciclo primavera-verano u otoño-invierno. Unidad de medida: Hectáreas,float,10.2,0000000000.00-9999999999.99
III13D_N_CEBADA,Superficie cosechada de Cebada : Área de los terrenos de la unidad de producción de la cual se obtuvo o se espera obtener cosecha de cebada en el ciclo primavera-verano u otoño-invierno. Unidad de medida: Hectáreas,float,10.2,0000000000.00-9999999999.99
III13D_N_CEBOLLA,Superficie cosechada de Cebolla : Área de los terrenos de la unidad de producción de la cual se obtuvo o se espera obtener cosecha de cebolla en el ciclo primavera-verano u otoño-invierno. Unidad de medida: Hectáreas,float,10.2,0000000000.00-9999999999.99
III13D_N_CHILE,Superficie cosechada de Chile : Área de los terrenos de la unidad de producción de la cual se obtuvo o se espera obtener cosecha de chile en el ciclo primavera-verano u otoño-invierno. Unidad de medida: Hectáreas,float,10.2,0000000000.00-9999999999.99
III13D_N_FRIJOL,Superficie cosechada de Frijol : Área de los terrenos de la unidad de producción de la cual se obtuvo o se espera obtener cosecha de frijol en el ciclo primavera-verano u otoño-invierno. Unidad de medida: Hectáreas,float,10.2,0000000000.00-9999999999.99
III13D_N_JITOMATE,Superficie cosechada de Jitomate : Área de los terrenos de la unidad de producción de la cual se obtuvo o se espera obtener cosecha de jitomate en el ciclo primavera-verano u otoño-invierno. Unidad de medida: Hectáreas,float,10.2,0000000000.00-9999999999.99
III13D_N_MAIZ_GRANO,Superficie cosechada de Maíz grano : Área de los terrenos de la unidad de producción de la cual se obtuvo o se espera obtener cosecha de maíz grano en el ciclo primavera-verano u otoño-invierno. Unidad de medida: Hectáreas,float,10.2,0000000000.00-9999999999.99
III13D_N_MELON_Y_SANDIA,Superficie cosechada de Melón y sandía : Área de los terrenos de la unidad de producción de la cual se obtuvo o se espera obtener cosecha de melón y sandía en el ciclo primavera-verano u otoño-invierno. Unidad de medida: Hectáreas,float,10.2,0000000000.00-9999999999.99
III13D_N_SORGO_GRANO,Superficie cosechada de Sorgo grano : Área de los terrenos de la unidad de producción de la cual se obtuvo o se espera obtener cosecha de sorgo grano en el ciclo primavera-verano u otoño-invierno. Unidad de medida: Hectáreas,float,10.2,0000000000.00-9999999999.99
III13D_N_TOMATE_VERDE,Superficie cosechada de Tomate verde : Área de los terrenos de la unidad de producción de la cual se obtuvo o se espera obtener cosecha de tomate verde en el ciclo primavera-verano u otoño-invierno. Unidad de medida: Hectáreas,float,10.2,0000000000.00-9999999999.99
III13D_N_TRIGO_GRANO,Superficie cosechada de Trigo grano : Área de los terrenos de la unidad de producción de la cual se obtuvo o se espera obtener cosecha de trigo grano en el ciclo primavera-verano u otoño-invierno. Unidad de medida: Hectáreas,float,10.2,0000000000.00-9999999999.99
III13D_N_AGUACATE,Superficie cosechada de Aguacate : Área de los terrenos de la unidad de producción ocupada con aguacate que han alcanzado la etapa productiva. Unidad de medida: Hectáreas,float,10.2,0000000000.00-9999999999.99
III13D_N_ALFALFA,Superficie cosechada de Alfalfa : Área de los terrenos de la unidad de producción ocupada con alfalfa que han alcanzado la etapa productiva. Unidad de medida: Hectáreas,float,10.2,0000000000.00-9999999999.99
III13D_N_CACAO,Superficie cosechada de Cacao : Área de los terrenos de la unidad de producción ocupada con cacao que han alcanzado la etapa productiva. Unidad de medida: Hectáreas,float,10.2,0000000000.00-9999999999.99
III13D_N_CAFE,Superficie cosechada de Café : Área de los terrenos de la unidad de producción ocupada con café que han alcanzado la etapa productiva. Unidad de medida: Hectáreas,float,10.2,0000000000.00-9999999999.99
III13D_N_CAÑA_DE_AZUCAR,Superficie cosechada de Caña de azúcar : Área de los terrenos de la unidad de producción ocupada con caña de azúcar que han alcanzado la etapa productiva. Unidad de medida: Hectáreas,float,10.2,0000000000.00-9999999999.99
III13D_N_LIMON,Superficie cosechada de Limón : Área de los terrenos de la unidad de producción ocupada con limón que han alcanzado la etapa productiva. Unidad de medida: Hectáreas,float,10.2,0000000000.00-9999999999.99
III13D_N_MANGO,Superficie cosechada de Mango : Área de los terrenos de la unidad de producción ocupada con mango que han alcanzado la etapa productiva. Unidad de medida: Hectáreas,float,10.2,0000000000.00-9999999999.99
III13D_N_MANZANA,Superficie cosechada de Manzana : Área de los terrenos de la unidad de producción ocupada con manzana que han alcanzado la etapa productiva. Unidad de medida: Hectáreas,float,10.2,0000000000.00-9999999999.99
III13D_N_NARANJA,Superficie cosechada de Naranja : Área de los terrenos de la unidad de producción ocupada con naranja que han alcanzado la etapa productiva. Unidad de medida: Hectáreas,float,10.2,0000000000.00-9999999999.99
III13D_N_PASTOS,Superficie cosechada de Pastos : Área de los terrenos de la unidad de producción ocupada con pastos que han alcanzado la etapa productiva. Unidad de medida: Hectáreas,float,10.2,0000000000.00-9999999999.99
III13D_N_PLATANO,Superficie cosechada de Plátano : Área de los terrenos de la unidad de producción ocupada con plátano que han alcanzado la etapa productiva. Unidad de medida: Hectáreas,float,10.2,0000000000.00-9999999999.99
III13E_N_ALGODON,"Producción de Algodón : Volumen total de la cosecha, expresado en toneladas, que se obtuvo o espera obtener de algodón en el periodo de referencia. Unidad de medida: Tonelada",float,10.2,0000000000.00-9999999999.99
III13E_N_ARROZ,"Producción de Arroz : Volumen total de la cosecha, expresado en toneladas, que se obtuvo o espera obtener de arroz en el periodo de referencia. Unidad de medida: Tonelada",float,10.2,0000000000.00-9999999999.99
III13E_N_AVENA_FORRAJERA,"Producción de Avena forrajera : Volumen total de la cosecha, expresado en toneladas, que se obtuvo o espera obtener de avena forrajera en el periodo de referencia. Unidad de medida: Tonelada",float,10.2,0000000000.00-9999999999.99
III13E_N_CALABAZA,"Producción de Calabaza : Volumen total de la cosecha, expresado en toneladas, que se obtuvo o espera obtener de calabaza en el periodo de referencia. Unidad de medida: Tonelada",float,10.2,0000000000.00-9999999999.99
III13E_N_CEBADA,"Producción de Cebada : Volumen total de la cosecha, expresado en toneladas, que se obtuvo o espera obtener de cebada en el periodo de referencia. Unidad de medida: Tonelada",float,10.2,0000000000.00-9999999999.99
III13E_N_CEBOLLA,"Producción de Cebolla : Volumen total de la cosecha, expresado en toneladas, que se obtuvo o espera obtener de cebolla en el periodo de referencia. Unidad de medida: Tonelada",float,10.2,0000000000.00-9999999999.99
III13E_N_CHILE,"Producción de Chile : Volumen total de la cosecha, expresado en toneladas, que se obtuvo o espera obtener de chile en el periodo de referencia. Unidad de medida: Tonelada",float,10.2,0000000000.00-9999999999.99
III13E_N_FRIJOL,"Producción de Frijol : Volumen total de la cosecha, expresado en toneladas, que se obtuvo o espera obtener de frijol en el periodo de referencia. Unidad de medida: Tonelada",float,10.2,0000000000.00-9999999999.99
III13E_N_JITOMATE,"Producción de Jitomate : Volumen total de la cosecha, expresado en toneladas, que se obtuvo o espera obtener de jitomate en el periodo de referencia. Unidad de medida: Tonelada",float,10.2,0000000000.00-9999999999.99
III13E_N_MAIZ_GRANO,"Producción de Maíz grano : Volumen total de la cosecha, expresado en toneladas, que se obtuvo o espera obtener de maíz grano en el periodo de referencia. Unidad de medida: Tonelada",float,10.2,0000000000.00-9999999999.99
III13E_N_MELON_Y_SANDIA,"Producción de Melón y sandía : Volumen total de la cosecha, expresado en toneladas, que se obtuvo o espera obtener de melón y sandía en el periodo de referencia. Unidad de medida: Tonelada",float,10.2,0000000000.00-9999999999.99
III13E_N_SORGO_GRANO,"Producción de Sorgo grano : Volumen total de la cosecha, expresado en toneladas, que se obtuvo o espera obtener de sorgo grano en el periodo de referencia. Unidad de medida: Tonelada",float,10.2,0000000000.00-9999999999.99
III13E_N_TOMATE_VERDE,"Producción de Tomate verde : Volumen total de la cosecha, expresado en toneladas, que se obtuvo o espera obtener de tomate verde en el periodo de referencia. Unidad de medida: Tonelada",float,10.2,0000000000.00-9999999999.99
III13E_N_TRIGO_GRANO,"Producción de Trigo grano : Volumen total de la cosecha, expresado en toneladas, que se obtuvo o espera obtener de trigo grano en el periodo de referencia. Unidad de medida: Tonelada",float,10.2,0000000000.00-9999999999.99
III13E_N_AGUACATE,"Producción de Aguacate : Volumen total de la cosecha, expresado en toneladas, que se obtuvo o espera obtener de aguacate en el periodo de referencia. Unidad de medida: Tonelada",float,10.2,0000000000.00-9999999999.99
III13E_N_ALFALFA,"Producción de Alfalfa : Volumen total de la cosecha, expresado en toneladas, que se obtuvo o espera obtener de alfalfa en el periodo de referencia. Unidad de medida: Tonelada",float,10.2,0000000000.00-9999999999.99
III13E_N_CACAO,"Producción de Cacao : Volumen total de la cosecha, expresado en toneladas, que se obtuvo o espera obtener de cacao en el periodo de referencia. Unidad de medida: Tonelada",float,10.2,0000000000.00-9999999999.99
III13E_N_CAFE,"Producción de Café : Volumen total de la cosecha, expresado en toneladas, que se obtuvo o espera obtener de café en el periodo de referencia. Unidad de medida: Tonelada",float,10.2,0000000000.00-9999999999.99
III13E_N_CAÑA_DE_AZUCAR,"Producción de Caña de azúcar : Volumen total de la cosecha, expresado en toneladas, que se obtuvo o espera obtener de caña de azúcar en el periodo de referencia. Unidad de medida: Tonelada",float,10.2,0000000000.00-9999999999.99
III13E_N_LIMON,"Producción de Limón : Volumen total de la cosecha, expresado en toneladas, que se obtuvo o espera obtener de limón en el periodo de referencia. Unidad de medida: Tonelada",float,10.2,0000000000.00-9999999999.99
III13E_N_MANGO,"Producción de Mango : Volumen total de la cosecha, expresado en toneladas, que se obtuvo o espera obtener de mango en el periodo de referencia. Unidad de medida: Tonelada",float,10.2,0000000000.00-9999999999.99
III13E_N_MANZANA,"Producción de Manzana : Volumen total de la cosecha, expresado en toneladas, que se obtuvo o espera obtener de manzana en el periodo de referencia. Unidad de medida: Tonelada",float,10.2,0000000000.00-9999999999.99
III13E_N_NARANJA,"Producción de Naranja : Volumen total de la cosecha, expresado en toneladas, que se obtuvo o espera obtener de naranja en el periodo de referencia. Unidad de medida: Tonelada",float,10.2,0000000000.00-9999999999.99
III13E_N_PASTOS,"Producción de Pastos : Volumen total de la cosecha, expresado en toneladas, que se obtuvo o espera obtener de pastos en el periodo de referencia. Unidad de medida: Tonelada",float,10.2,0000000000.00-9999999999.99
III13E_N_PLATANO,"Producción de Plátano : Volumen total de la cosecha, expresado en toneladas, que se obtuvo o espera obtener de plátano en el periodo de referencia. Unidad de medida: Tonelada",float,10.2,0000000000.00-9999999999.99
II7_N,Superficie total agrícola : Área de los terrenos de la unidad de producción utilizada para la siembra o plantación de cultivos anuales o perennes Unidad de medida: Hectáreas,float,10.2,0000000000.00-9999999999.99
II8_N,"Superficie agrícola de riego : Área agrícola en la cual se dispone de agua controlada a través de obras hidráulicas u otros medios hechos por el hombre, sin importar si se regó o no, en el periodo de referencia. Unidad de medida: Hectáreas",float,10.2,0000000000.00-9999999999.99
II9_N,Superficie agrícola de temporal : Área agrícola de la unidad de producción en la cual el agua que se necesita para el desarrollo de los cultivos proviene directa y exclusivamente de la lluvia. Unidad de medida: Hectáreas,float,10.2,0000000000.00-9999999999.99
ESTATUS,"Descripción de estatus de los datos.El estatus de la información puede ser : Cifras Definitivas, Cifras Revisadas, Cifras Preliminares.",varchar,100,Cifras Definitivas
