COLUMNA,DESCRIPCION,TIPO_DATO,LONGITUD,CODIGO_VALIDO
TIPO_DE_DATO,Es la presentación de la información.,varchar,100,"Estimación,Porcentaje,Total,Limite de confianza inferior,Limite de confianza superior,Coeficiente de variacion"
UP_II7,"Unidades de producción con superficie agrícola : Es la unidad de producción que cuenta con un área utilizada  para la siembra o plantación de cultivos anuales o perennes; incluye la superficie en descanso y la no sembrada por cualquier otra causa, en el periodo de referencia. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
UP_II8,"Unidades de producción con superficie de riego : Es la unidad de producción con superficie agrícola y que dispone de agua controlada a través de obras hidráulicas u otros medios hechos por el hombre, sin importar si se regó o no en el periodo de referencia. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
II8_1_1,"Sistema de riego de canales recubiertos o revestidos : Construcción de cemento, lámina o plástico, cuya finalidad es permitir la conducción del agua a los terrenos agrícolas para su riego evitando la pérdida de agua ocasionada por la filtración. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
II8_1_2,Sistema de riego de canales de tierra : Construcción de tierra que se utiliza para la conducción de agua y que carece de un recubrimiento. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
II8_1_3,"Sistema de riego de microaspersión : Mecanismo constituido por tubos o mangueras mediante las cuales el agua es conducida a presión, y por medio de boquillas el agua es atomizada formando una nebulización con la que se riegan los cultivos o plantaciones. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
II8_1_4,Sistema de riego de aspersión : Mecanismo constituido por tubos o mangueras mediante las cuales es conducida el agua a presión permitiendo regar los cultivos o plantaciones por medio de boquillas. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
II8_1_5,Sistema de riego de goteo : Mecanismo constituido por tubos o mangueras mediante las cuales el agua es conducida a presión. Por medio de boquillas gotea el agua a la base de cada uno de los árboles o plantas. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
II8_1_6,"Sistema de riego de otro Sistema : Sistema de riego diferente al de aspersión, microaspersión, por goteo y por gravedad, que se utiliza para proporcionar agua a los cultivos o plantaciones. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
II8_2_1,"Agua negra utilizada : Aguas residuales que provienen, principalmente, de concentraciones urbanas y no han sido sometidas a un proceso de tratamiento. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
II8_2_2,"Agua tratada utilizada : Aguas residuales que provienen, principalmente, de las ciudades y han sido tratadas por medios físicos y químicos en una planta de tratamiento, con el fin de disminuir las substancias tóxicas. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
II8_2_3,"Agua blanca utilizada : Agua de pozos, manantiales, ojos de agua, ríos, lagunas y presas, entre otras fuentes, generalmente con bajo contenido de substancias tóxicas, además de carecer de desechos residuales. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
