COLUMNA,DESCRIPCION,TIPO_DATO,LONGITUD,CODIGO_VALIDO
TIPO_DE_DATO,Es la presentación de la información.,varchar,100,"Estimación,Porcentaje,Total,Limite de confianza inferior,Limite de confianza superior,Coeficiente de variacion"
V38_HASTA_5_AÑOS,Tractores hasta 5 años :Cantidad de años que ha sido usado el tractor o maquinaria desde su compra inicial. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
V38_MAS_5_A_10_AÑOS,Tractores de 5 hasta 10 años :Cantidad de años que ha sido usado el tractor o maquinaria desde su compra inicial. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
V38_MAS_10_A_15_AÑOS,Tractores de 10 hasta 15 años :Cantidad de años que ha sido usado el tractor o maquinaria desde su compra inicial. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
V38_MAS_15_AÑOS,Tractores de 15 años :Cantidad de años que ha sido usado el tractor o maquinaria desde su compra inicial. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
V38_NO_ESPECIFICADO,Tractores no especificado de años :El informante no tiene conocimiento de los años de uso que tiene el tractor. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
V38_FUN_HASTA_5_AÑOS,Tractores funcionando hasta 5 años :Cantidad de años que ha sido usado el tractor o maquinaria desde su compra inicial. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
V38_FUN_MAS_5_A_10_AÑOS,Tractores funcionando de 5 hasta 10 años :Cantidad de años que ha sido usado el tractor o maquinaria desde su compra inicial. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
V38_FUN_MAS_10_A_15_AÑOS,Tractores funcionando de 10 hasta 15 años :Cantidad de años que ha sido usado el tractor o maquinaria desde su compra inicial. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
V38_FUN_MAS_15_AÑOS,Tractores funcionando de 15 años :Cantidad de años que ha sido usado el tractor o maquinaria desde su compra inicial. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
V38_FUN_NO_ESPECIFICADO,Tractores funcionando no especificado :El informante no tiene conocimiento de los años de uso que tiene el tractor. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
V39_TRILL_HASTA_5_AÑOS,Trilladoras hasta 5 años :Cantidad de años que ha sido usado el tractor o maquinaria desde su compra inicial. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
