COLUMNA,DESCRIPCION,TIPO_DATO,LONGITUD,CODIGO_VALIDO
TIPO_DE_DATO,Es la presentación de la información.,varchar,100,"Estimación,Existencias,Limite de confianza inferior,Limite de confianza superior,Coeficiente de variacion"
ENTIDAD,Nombre de la  Entidad.,varchar,100,"Aguascalientes a Zacatecas,Nacional"
IV22,"Existencias totales segun rango de edad : Número total de cabezas de ganado bovino de cualquier edad y sexo, que pertenecen a la unidad de producción en una fecha determinada. Se excluye el ganado de lidia. Unidad de medida: Cabezas",float,10.2,0000000000.00-9999999999.99
IV22_MEN_1_AÑO,Ganado bovino menor de un año  : Cabeza del ganado bovino perteneciente a la unidad de producción que en una fecha determinada aún no ha cumplido su primer año de edad. Unidad de medida: Cabezas,float,10.2,0000000000.00-9999999999.99
IV22_1_A_2_AÑOS,Ganado bovino de uno a dos años : Cabeza del ganado bovino perteneciente a la unidad de producción que en una fecha determinada tiene de uno a dos años de edad. Unidad de medida: Cabezas,float,10.2,0000000000.00-9999999999.99
IV22_MAS_2_A_3_AÑOS,Ganado bovino de mas de dos a tres años : Cabeza del ganado bovino perteneciente a la unidad de producción que en una fecha determinada tiene más de dos y hasta tres años de edad. Unidad de medida: Cabezas,float,10.2,0000000000.00-9999999999.99
IV22_MAY_3_AÑOS,Ganado bovino mayor a tres años : Cabeza del ganado bovino perteneciente a la unidad de producción que en una fecha determinada tiene más de tres años de edad. Unidad de medida: Cabezas,float,10.2,0000000000.00-9999999999.99
IV22_2_2,"Vaquillas de reemplazo : Es aquella hembra que por condiciones de selección en un momento dado, servirá para sustituir a otra vaca que por alguna u otra razón es dada de baja en el hato, o bien para incrementar la población del establo. Unidad de medida: Cabezas",float,10.2,0000000000.00-9999999999.99
IV22_2_3,"Reses en engorda : Bovino que se cría o desarrolla bajo cualquier sistema productivo, cuya finalidad es la producción de carne. Unidad de medida: Cabezas",float,10.2,0000000000.00-9999999999.99
IV22_2_4,"Sementales Bovinos : Bovino macho en edad reproductiva, seleccionado para el apareamiento con las hembras en forma directa o para la obtención de semen con fines de inseminación artificial. Unidad de medida: Cabezas",float,10.2,0000000000.00-9999999999.99
IV22_2_5,Sólo para  la cría de becerros  : Hembra del ganado bovino que por lo menos ha tenido un parto y su finalidad es exclusivamente la crianza de becerros para engorda. Unidad de medida: Cabezas,float,10.2,0000000000.00-9999999999.99
IV22_2_6,Sólo para la producción de leche  : Hembra del ganado bovino que por lo menos ha tenido un parto cuya finalidad es exclusivamente la producción de leche y a la cual se le separa el becerro a los pocos días de nacido. Unidad de medida: Cabezas,float,10.2,0000000000.00-9999999999.99
IV22_2_7,Para la cría de becerros y ordeña : Hembra del ganado bovino que por lo menos ha tenido un parto y está destinada tanto a la producción de leche como a la crianza de becerros. Unidad de medida: Cabezas,float,10.2,0000000000.00-9999999999.99
IV22_2_1,"Bovinos para trabajo y no clasificados : Bovino macho castrado que se utiliza para jalar o tirar carretas, implementos agrícolas o para carga. Unidad de medida: No aplica",float,10.2,0000000000.00-9999999999.99
IV22_3CNT,Producción media diaria de leche  : Cantidad promedio de leche de vaca obtenida diariamente en la unidad de producción. Unidad de medida: Litros,float,10.2,0000000000.00-9999999999.99
IV22_3_1PS,"Precio medio del litro de leche  : Cantidad promedio de dinero, expresada en pesos, que recibió el productor de la venta por litro de leche, en un día determinado. Unidad de medida: Pesos/Litros",float,10.2,0000000000.00-9999999999.99
IV23_1,"Corrientes o criollas : Calificación genética que un productor considera tienen sus animales y que para fines de las estadísticas agropecuarias, se clasifican en: finos, corrientes y de cruza. Unidad de medida: Cabezas",float,10.2,0000000000.00-9999999999.99
IV23_2,Cruza de corrientes con finas : Bovino obtenido del apareamiento o mediante inseminación artificial de una hembra corriente con otro de raza fina. Unidad de medida: Cabezas,float,10.2,0000000000.00-9999999999.99
IV23_3,Finas o de razas especializadas : Bovino de una raza definida capaz de transmitir sus características a su descendencia. En este concepto se incluyen las cruzas entre animales de distintas razas puras. Unidad de medida: Cabezas,float,10.2,0000000000.00-9999999999.99
IV23_NO_ESPECIFICADA,"Raza no especificada : Es aquel grupo de animales, con características comunes que se transmiten sin variación de una generación a otra, y de los cuales el productor desconoce el nombre de la raza. Unidad de medida: Cabezas",float,10.2,0000000000.00-9999999999.99
IV26,"Existencias totales de ganado porcino : Número total de cabezas de ganado porcino de cualquier edad y sexo, que posee la unidad de producción en una fecha determinada. También se conoce al marrano como puerco, cochi, cerdo, cochino, chancho, entre otros nombres. Unidad de medida: Cabezas",float,10.2,0000000000.00-9999999999.99
IV26_1_1,Menores de ocho semanas : Cría de la marrana que no ha alcanzado las ocho semanas de edad la cual generalmente no ha sido destetada. Unidad de medida: Cabezas,float,10.2,0000000000.00-9999999999.99
IV26_1_2,En desarrollo o engorda : Cerdo cuya edad varía entre las ocho semanas y los seis meses. Unidad de medida: Cabezas,float,10.2,0000000000.00-9999999999.99
IV26_1_2_1,"Hembras de reemplazo : Cerda que por condiciones de selección está destinada para la reproducción o pie de cría, para reemplazar a otra (de desecho) o para incrementar el número de vientres en la piara. Unidad de medida: Cabezas",float,10.2,0000000000.00-9999999999.99
IV26_1_3,"Animales de desecho : Cerdo que sin importar su edad o función zootécnica, ya no es de utilidad o beneficio para el productor y es destinado para la venta o sacrificio. Unidad de medida: Cabezas",float,10.2,0000000000.00-9999999999.99
IV26_1_4,"Sementales Porcinos : Macho del ganado porcino, en edad reproductiva, seleccionado para el apareamiento con las hembras en forma directa o para la obtención de semen con fines de inseminación artificial. Unidad de medida: Cabezas",float,10.2,0000000000.00-9999999999.99
IV26_1_5,Marranas que hayan parido : Hembra del ganado porcino que por lo menos haya tenido un parto. Unidad de medida: Cabezas,float,10.2,0000000000.00-9999999999.99
IV26_1_5_1,"Promedio de partos por año : Promedio de partos por año de las hembras pocinas, en la unidad de producción. Unidad de medida: Cabezas",float,10.2,0000000000.00-9999999999.99
IV26_1_5_2,Promedio de lechones por parto : Promedio de lechones por partos que se registran en la unidad de producción. Unidad de medida: Cabezas,float,10.2,0000000000.00-9999999999.99
ESTATUS,"Descripción de estatus de los datos.El estatus de la información puede ser : Cifras Definitivas, Cifras Revisadas, Cifras Preliminares.",varchar,100,Cifras Definitivas
