COLUMNA,DESCRIPCION,TIPO_DATO,LONGITUD,CODIGO_VALIDO
TIPO_DE_DATO,Es la presentación de la información.,varchar,100,"Estimación,Porcentaje,Total,Limite de confianza inferior,Limite de confianza superior,Coeficiente de variacion"
IV25_1_1,"Ganado bovino vendido menor de un año : Es el número de bovinos menores de un año de edad vendidos, en canal o por corte, en el periodo de referencia. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
IV25_1_2,"Ganado bovino vendido de uno a dos años : Es el número de bovinos de uno a dos años de edad vendidos, o en canal o por corte, en el periodo de referencia. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
IV25_1_3,"Ganado bovino vendido de más de dos a tres años : Es el número de bovinos de más de dos a tres años de edad vendidos, desglosados por edad o en canal o por corte, en el periodo de referencia. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
IV25_1_4,"Ganado bovino vendido mayores de tres años : Es el número de bovinos mayores de tres años de edad vendidos, desglosados por edad o en canal o por corte, en el periodo de referencia. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
IV25_1_1PS,"Precio medio por cabeza en ganado bovino menores de un año : Cantidad de dinero recibida, expresada en pesos, por la venta de bovinos menores de un año de edad (ya sean cabezas, en canal o en cortes) de la última transacción realizada. Unidad de medida: Pesos",float,10.2,0000000000.00-9999999999.99
IV25_1_2PS,"Precio medio por cabeza en ganado bovino de uno a dos años : Cantidad de dinero recibida, expresada en pesos, por la venta de bovinos de uno a dos años de edad (ya sean cabezas, en canal o en cortes) de la última transacción realizada. Unidad de medida: Pesos",float,10.2,0000000000.00-9999999999.99
IV25_1_3PS,"Precio medio por cabeza en ganado bovino de más de dos a tres años : Cantidad de dinero recibida, expresada en pesos, por la venta de bovinos de más de dos a tres años de edad (ya sean cabezas, en canal o en cortes) de la última transacción realizada. Unidad de medida: Pesos",float,10.2,0000000000.00-9999999999.99
IV25_1_4PS,"Precio medio por cabeza en ganado bovino mayores de tres años : Cantidad de dinero recibida, expresada en pesos, por la venta de bovinos mayores de tres años de edad (ya sean cabezas, en canal o en cortes) de la última transacción realizada. Unidad de medida: Pesos",float,10.2,0000000000.00-9999999999.99
IV29_1_1,"Sementales Bovinos : Es el número de bovinos machos vendidos, en el periodo de referencia. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
IV29_1_2,"Vientres : Es el número de vientres vendidos, en el periodo de referencia. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
IV29_1_3,"Menores de ocho semanas : Es el número de bovinos de 8 semanas vendidos, en el periodo de referencia. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
IV29_1_4,"Animales en desarrollo o engorda : Es el número de porcinos vendidos en desarrollo o engorda, en el periodo de referencia. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
IV29_1_5,"Animales de desecho : Cerdo que sin importar su edad o función zootécnica, ya no es de utilidad o beneficio para el productor y es destinado para la venta o sacrificio. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
IV29_1_1PS,Sementales Bovinos : Precio por cabeza de la última venta de sementales Unidad de medida: Pesos,float,10.2,0000000000.00-9999999999.99
IV29_1_2PS,Vientres : Precio por cabeza de la última venta de vientres Unidad de medida: Pesos,float,10.2,0000000000.00-9999999999.99
IV29_1_3PS,Menores de ocho semanas : Precio por cabeza de la última venta de lechones menores de ocho semanas Unidad de medida: Pesos,float,10.2,0000000000.00-9999999999.99
IV29_1_4PS,Animales en desarrollo o engorda : Precio por cabeza de la última venta de animales en desarrollo o engorda Unidad de medida: Pesos,float,10.2,0000000000.00-9999999999.99
IV29_1_5PS,Animales de desecho : Precio por cabeza de la última venta de animales de desecho Unidad de medida: Pesos,float,10.2,0000000000.00-9999999999.99
ESTATUS,"Descripción de estatus de los datos.El estatus de la información puede ser : Cifras Definitivas, Cifras Revisadas, Cifras Preliminares.",varchar,100,Cifras Definitivas
