COLUMNA,DESCRIPCION,TIPO_DATO,LONGITUD,CODIGO_VALIDO
TIPO_DE_DATO,Es la presentación de la información.,varchar,100,"Estimación,Porcentaje,Total,Limite de confianza inferior,Limite de confianza superior,Coeficiente de variacion"
UP_IV22,"Unidades de producción con ganado bovino : Es la unidad de producción en la cual se cría o explota  ganado bovino de cualquier edad, sexo, actividad o función zootécnica, en una fecha determinada. Se excluye el ganado de lidia. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
UP_IV24_TEC_BOV,"Unidades de producción con ganado bovino que utilizaron alguna tecnología : Es la unidad de producción en la cual se realiza una actividad pecuaria y en la cual se aplica un conjunto de conocimientos, prácticas y técnicas modernas que se aprovechan para la cría, desarrollo, engorda y reproducción de los animales, que se aplican para incrementar la cantidad y mejorar la calidad de la producción. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
IV24_1,Vacunación : Empleo de sustancias elaboradas a base de microorganismos que permiten prevenir o controlar las enfermedades virales o bacterianas de los bovinos. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
IV24_2,Desparasitación interna : Empleo de medicamentos que tienen el propósito de eliminar o controlar parásitos internos del ganado bovino. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
IV24_3,"Baño contra parásitos de la piel : Empleo de productos químicos que se aplican a las reses, ya sea mediante inmersión o aspersión para controlar, combatir y eliminar parásitos de la piel. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
IV24_4,"Alimento balanceado : Mezcla o combinación de productos agrícolas (maíz, trigo, sorgo, entre otros), ganaderos (pollinaza) o industriales (melaza, harina de carne y hueso entre otros) que contiene los requerimientos necesarios para una buena nutrición de los bovinos. Se incluyen tanto los alimentos que se elaboran en la unidad de producción, como aquellos en que la mezcla ya preparada proviene de casas comerciales. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
IV24_5,"Inseminación artificial : Técnica que consiste en depositar el semen, por medios artificiales, en una hembra en celo, con el fin de preñarla sin que haya monta directa. Se utiliza principalmente para mejorar la calidad del hato y evitar enfermedades de transmisión sexual en el ganado. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
IV24_6,Aplicación de hormonas : Empleo de sustancias de origen natural o artificial que producen cambios hormonales con fines productivos o reproductivos. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
IV24_7,"Transferencia de embriones : Práctica que consiste en transferir, por medios artificiales, un óvulo fecundado de una hembra de alto valor genético a otra con la finalidad de mejorar la calidad del ganado e incrementar el número de crías de la hembra donadora. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
IV24_8,Monta controlada : Práctica de manejo que consiste en dirigir el apareamiento de la hembra con el semental para su reproducción. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
IV24_9,Rotación de potreros : Sistema especializado de manejo de los pastizales basado en alternar el uso con el descanso de dos ó más potreros con el objetivo de obtener la máxima producción animal por hectárea y conservar los recursos naturales. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
IV24_10,"Roladora de granos : Un sistema de rolado al vapor incluye los dos siguientes componentes básicos: 1) cocedor para granos, 2) roladora equipada con alimentador y rodillos corrugados. Este equipo se utiliza para realizar el rolado al vapor de los granos que consiste en la gelatinización de las células de almidón complejas, lo cual permite incrementar su digestibilidad. El rompimiento de la matriz de proteína como resultado del proceso de rolado al vapor, elimina la limitante existente en la digestión del almidón convirtiendo almidones insolubles en azúcares. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
IV24_11,Recibieron asistencia técnica : Orientación que recibe el productor por parte de personal especializado para la utilización de técnicas o procedimientos con el propósito de mejorar la producción de los bovinos. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
IV24_12,"Aplicación de algún programa de mejoramiento genético : Proceso por medio del cual se va aumentando la calidad genética del ganado bovino con la finalidad de mejorar el tipo, producción y rendimiento del hato. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
