ENTIDAD,CULTIVO,ESTIMACION,LIMITE_DE_CONFIANZA_INFERIOR,LIMITE_DE_CONFIANZA_SUPERIOR,COEFICIENTE_DE_VARIACION,ESTATUS
Baja California,Superficie sembrada de Algodón,,20272.8,36136.2,14.35,Cifras Definitivas
Chihuahua,Superficie sembrada de Algodón,,86648.9,104075.5,4.66,Cifras Definitivas
Coahuila de Zaragoza,Superficie sembrada de Algodón,,9693.9,11402.7,4.13,Cifras Definitivas
Chihuahua,Superficie sembrada de Avena forrajera,,196781.5,209004.1,1.54,Cifras Definitivas
Ciudad de México,Superficie sembrada de Avena forrajera,,40858.1,44277.4,2.05,Cifras Definitivas
Distrito Federal,Superficie sembrada de Avena forrajera,,4140.9,4366.1,1.35,Cifras Definitivas
Durango,Superficie sembrada de Avena forrajera,,97610.4,105854,2.07,Cifras Definitivas
Zacatecas,Superficie sembrada de Avena forrajera,,128969.3,136459.6,1.44,Cifras Definitivas
Campeche,Superficie sembrada de Calabaza,,10010.8,10929.6,2.24,Cifras Definitivas
Hidalgo,Superficie sembrada de Cebada,,81402.6,91396.8,2.95,Cifras Definitivas
Zacatecas,Superficie sembrada de Chile,,27260.8,29667.4,2.16,Cifras Definitivas
Aguascalientes,Superficie sembrada de Frijol,,9840.3,10472.8,1.59,Cifras Definitivas
Chiapas,Superficie sembrada de Frijol,,126030.6,136349.7,2.01,Cifras Definitivas
Chihuahua,Superficie sembrada de Frijol,,96460.8,102069.1,1.44,Cifras Definitivas
Durango,Superficie sembrada de Frijol,,203802.7,213509.5,1.19,Cifras Definitivas
Guanajuato,Superficie sembrada de Frijol,,90493,94902.6,1.21,Cifras Definitivas
Guerrero,Superficie sembrada de Frijol,,27221.3,29407.3,1.97,Cifras Definitivas
Nayarit,Superficie sembrada de Frijol,,56804.9,59216,1.06,Cifras Definitivas
Oaxaca,Superficie sembrada de Frijol,,49479.7,54784.2,2.6,Cifras Definitivas
Puebla,Superficie sembrada de Frijol,,61473.2,68486.1,2.75,Cifras Definitivas
Querétaro,Superficie sembrada de Frijol,,20342.2,22008.4,2.01,Cifras Definitivas
Quintana Roo,Superficie sembrada de Frijol,,14207.6,15658.2,2.48,Cifras Definitivas
San Luis Potosí,Superficie sembrada de Frijol,,130593.3,137149.7,1.25,Cifras Definitivas
Sinaloa,Superficie sembrada de Frijol,,58322.7,61749.3,1.46,Cifras Definitivas
Zacatecas,Superficie sembrada de Frijol,,670737.8,695331.4,0.92,Cifras Definitivas
Baja California Sur,Superficie sembrada de Jitomate,,2567.4,3338.8,6.66,Cifras Definitivas
Sinaloa,Superficie sembrada de Jitomate,,8266.2,13712.9,12.64,Cifras Definitivas
Guanajuato,Superficie sembrada de Sorgo grano,,230532.5,251695.5,2.24,Cifras Definitivas
Morelos,Superficie sembrada de Sorgo grano,,35868.2,38851.4,2.04,Cifras Definitivas
Nayarit,Superficie sembrada de Sorgo grano,,64096.7,76533.5,4.51,Cifras Definitivas
Nuevo León,Superficie sembrada de Sorgo grano,,36920.3,66169.4,14.48,Cifras Definitivas
Tamaulipas,Superficie sembrada de Sorgo grano,,1105667.5,1292863.7,3.98,Cifras Definitivas
Baja California,Superficie sembrada de Trigo grano,,75334.1,88748.2,4.17,Cifras Definitivas
Guanajuato,Superficie sembrada de Trigo grano,,80996.3,89785.1,2.63,Cifras Definitivas
