TIPO_DATO,ENTIDAD,CB114_1,CB114_2,CB114_3,CB114_4,CB121_1,CB121_2,CB121_2_1,CB121_3,CB121_3_1,CB121_3_2,CB121_4,CB121_5,CB121_6,CB121_7,CB121_VACAS,CB122,CB122_01,CB131_1,CB131_2,CB131_3,CB131_3_1,CB131_3_1_1,CB131_NO_CLAS,CB161_1,CB161_2,CB161_3,CB161_4,CB161_NO_CLAS,CP112,CP121_1,CP121_1_1,CP121_2,CP121_2_1,CP121_3,CP121_4,CP121_5,CP121_5_1,CP121_6,CP121_7,CP121_7_3,CP121_DESTETE,CP121_MUEREN,CP131_1,CP131_2,CP131_3,CP131_3_1,CP131_NO_CLAS,ESTATUS
Estimación,Nacional,7067355,5655377,5299002,10393603,213178,3766824,2.6,6938730,5.6,513,1219769,8055424,2664938,3972860,6637798,2385794,31456356,5941666,13776703,7908455,2488200,788513,1583615,14043726,4188347,7087135,2307616,788513,14153863,3741795,1924659,7956696,92.7,774104,165782,322766,135.7,122397,1070323,7149103,6.7,1059587,1266514,2742472,9053480,2544813,1091398,Cifras Definitivas
Límite de confianza inferior,Nacional,6691748,5413347,4480871,9740174,192306,3604642,2.6,5785601,5.6,509,1164805,7856801,2455198,3809435,6374461,2292398,29503314,5610029,12868229,7338188,2077417,759739,1528844,13750425,3978087,5917977,2025322,759739,12279908,3283082,1706248,6670777,91.7,586207,47017,209977,108.1,114159,942058,6967224,6.6,1034001,1098951,2182656,7270970,1424818,1072898,Cifras Definitivas
Límite de confianza superior,Nacional,7442963,5897406,6117132,11047033,234050,3929005,2.6,8091859,5.7,517.1,1274733,8254046,2874677,4136286,6901135,2479190,33409398,6273303,14685177,8478722,2898982,817287,1638386,14337026,4398606,8256294,2589911,817287,16027819,4200509,2143070,9242616,93.7,962000,284548,435554,163.3,130635,1198587,7330982,6.7,1085173,1434077,3302288,10835989,3664809,1109898,Cifras Definitivas
Coeficiente de variación,Nacional,2.71,2.18,7.88,3.21,5,2.2,0.24,8.48,0.42,0.4,2.3,1.26,4.02,2.1,2.02,2,3.17,2.85,3.36,3.68,8.42,1.86,1.76,1.07,2.56,8.42,6.24,1.86,6.76,6.25,5.79,8.25,0.56,12.38,36.55,17.83,10.37,3.43,6.11,1.3,0.38,1.23,6.75,10.41,10.05,22.46,0.86,Cifras Definitivas
Estimación,Aguascalientes,63502,54231,47208,97273,503,54126,2.3,40077,5.3,521.9,7744,31185,95614,24208,119822,75083,1374376,64967,64240,128840,15009,4167,8756,51636,9432,164693,32285,4167, , , , , , , , , , , ,88978,5,15690, , , , , ,Cifras Definitivas
Límite de confianza inferior,Aguascalientes,59053,49024,42182,89683,326,45393,2.3,35157,5.1,494.5,5698,27703,84780,20642,108915,70011,1285287,59571,56892,109896,9390,3394,7154,46962,6165,145758,28050,3394, , , , , , , , , , , ,79366,4.8,14180, , , , , ,Cifras Definitivas
Límite de confianza superior,Aguascalientes,67950,59438,52233,104863,681,62858,2.4,44997,5.5,549.3,9789,34667,106448,27775,130729,80155,1463465,70362,71588,147783,20628,4939,10358,56310,12699,183628,36520,4939, , , , , , , , , , , ,98591,5.3,17200, , , , , ,Cifras Definitivas
Coeficiente de variación,Aguascalientes,3.57,4.9,5.43,3.98,18.01,8.23,1.11,6.26,1.55,2.68,13.48,5.7,5.78,7.52,4.64,3.45,3.31,4.24,5.84,7.5,19.1,9.46,9.33,4.62,17.67,5.87,6.69,9.46, , , , , , , , , , , ,5.51,2.42,4.91, , , , , ,Cifras Definitivas
Estimación,Baja California,132204,97883,37329,36729,618,29462,2.3,196349,5.4,742.4,4395,27769,38347,6322, , , ,45202,65006,193373,81955,563,882,38450,12983,243283,8866,563, , , , , , , , , , , ,42206,5.2,6748, , , , , ,Cifras Definitivas
Límite de confianza inferior,Baja California,55921,47573,33166,33214,36,25386,2.2,99468,5.1,314.1,2715,23995,33017,4186, , , ,37779,50032,104893,6097,222,453,33791,9175,146870,5906,222, , , , , , , , , , , ,38399,4.8,5790, , , , , ,Cifras Definitivas
Límite de confianza superior,Baja California,208488,148193,41493,40243,1201,33538,2.4,293230,5.7,1170.7,6076,31543,43677,8459, , , ,52626,79981,281853,157812,905,1311,43110,16791,339696,11826,905, , , , , , , , , , , ,46014,5.6,7707, , , , , ,Cifras Definitivas
Coeficiente de variación,Baja California,29.44,26.22,5.69,4.88,48.04,7.06,2.18,25.17,2.66,29.44,19.51,6.93,7.09,17.24, , , ,8.38,11.75,23.35,47.23,30.93,24.83,6.18,14.97,20.22,17.03,30.93, , , , , , , , , , , ,4.6,3.51,7.25, , , , , ,Cifras Definitivas
Estimación,Baja California Sur,53624,35993,33534,70264,3981,30964,2.5,37784,5.5,518.6,7098,51358,12031,38814, , , ,23279,110754,57354,14823,2027,11384,137751,24422,14835,14379,2027, , , , , , , , , , , ,60489,7,10563, , , , , ,Cifras Definitivas
Límite de confianza inferior,Baja California Sur,49753,32155,29730,64302,1750,26903,2.4,31121,5.3,508.2,5249,43141,7436,32851, , , ,17219,98745,46432,9139,1405,9009,126193,17003,8960,9193,1405, , , , , , , , , , , ,56375,6.8,8571, , , , , ,Cifras Definitivas
Límite de confianza superior,Baja California Sur,57494,39831,37338,76225,6212,35026,2.6,44446,5.8,529,8947,59575,16627,44776, , , ,29338,122764,68276,20508,2649,13758,149309,31841,20711,19565,2649, , , , , , , , , , , ,64604,7.3,12554, , , , , ,Cifras Definitivas
Coeficiente de variación,Baja California Sur,3.68,5.44,5.79,4.33,28.59,6.69,1.53,9,2.15,1.02,13.29,8.16,19.49,7.84, , , ,13.28,5.53,9.72,19.57,15.66,10.64,4.28,15.5,20.21,18.4,15.66, , , , , , , , , , , ,3.47,1.93,9.62, , , , , ,Cifras Definitivas
Estimación,Campeche,113309,81321,80592,172865,2764,80275,2.6,56028,5.7,533.3,22310,216680,10868,39154, , , ,43894,353325,44624,15034,6243,20009,319020,89868,8673,24282,6243, , , , , , , , , , , ,136492,6.7,19020, , , , , ,Cifras Definitivas
Límite de confianza inferior,Campeche,106685,73786,72671,163280,1056,72391,2.5,49154,5.5,486.6,19254,201796,7510,31664, , , ,34246,331695,34228,8779,4679,16992,298475,74216,4727,16625,4679, , , , , , , , , , , ,128205,6.5,17341, , , , , ,Cifras Definitivas
Límite de confianza superior,Campeche,119933,88855,88513,182449,4472,88159,2.6,62902,5.9,579.9,25366,231563,14226,46643, , , ,53543,374954,55021,21289,7806,23026,339565,105520,12618,31939,7806, , , , , , , , , , , ,144779,7,20700, , , , , ,Cifras Definitivas
Coeficiente de variación,Campeche,2.98,4.73,5.01,2.83,31.53,5.01,1.11,6.26,2.01,4.47,6.99,3.5,15.77,9.76, , , ,11.22,3.12,11.89,21.23,12.78,7.69,3.29,8.89,23.21,16.09,12.78, , , , , , , , , , , ,3.1,1.55,4.51, , , , , ,Cifras Definitivas
Estimación,Coahuila de Zaragoza,256704,180483,246241,401871,10492,252353,2.5,184498,5.7,518.1,25095,240692,330997,20992,351989,181179,3383202,126026,303337,649979,315423,5957,20181,366816,47472,620267,44788,5957, , , , , , , , , , , ,274021,5.6,28913, , , , , ,Cifras Definitivas
Límite de confianza inferior,Coahuila de Zaragoza,218044,155020,168216,343546,6262,191202,2.5,108159,5.5,508.6,21962,222676,254742,11391,275499,158375,3017784,110303,226978,514325,215039,4597,13996,341496,32418,468378,23752,4597, , , , , , , , , , , ,235188,5.4,25181, , , , , ,Cifras Definitivas
Límite de confianza superior,Coahuila de Zaragoza,295365,205946,324266,460197,14722,313503,2.6,260838,5.9,527.7,28227,258708,407252,30593,428478,203983,3748619,141748,379696,785633,415807,7318,26365,392135,62526,772156,65824,7318, , , , , , , , , , , ,312855,5.9,32645, , , , , ,Cifras Definitivas
Coeficiente de variación,Coahuila de Zaragoza,7.68,7.2,16.17,7.4,20.57,12.36,1.04,21.11,1.51,0.94,6.37,3.82,11.75,23.34,11.09,6.42,5.51,6.37,12.84,10.65,16.24,11.65,15.64,3.52,16.18,12.49,23.96,11.65, , , , , , , , , , , ,7.23,1.83,6.59, , , , , ,Cifras Definitivas
Estimación,Colima,43483,32868,28942,64163,1271,29143,2.8,31894,6.2,495,7085,68833,4206,19706, , , ,13165,128366,26534,5424,1389,7318,114068,42329,5756,5913,1389, , , , , , , , , , , ,46886,7.7,6439, , , , , ,Cifras Definitivas
Límite de confianza inferior,Colima,41471,30149,26809,60838,736,26865,2.8,28002,6,485.9,6097,64122,3010,16829, , , ,9713,121335,21451,3030,765,5942,106979,36501,3012,2624,765, , , , , , , , , , , ,44672,7.5,5888, , , , , ,Cifras Definitivas
Límite de confianza superior,Colima,45494,35587,31075,67488,1806,31421,2.8,35785,6.4,504,8074,73544,5402,22583, , , ,16617,135397,31618,7818,2013,8693,121158,48156,8501,9202,2013, , , , , , , , , , , ,49099,7.8,6989, , , , , ,Cifras Definitivas
Coeficiente de variación,Colima,2.36,4.22,3.76,2.64,21.48,3.99,0.7,6.23,1.87,0.93,7.12,3.49,14.51,7.45, , , ,13.38,2.79,9.78,22.52,22.91,9.59,3.17,7.02,24.33,28.38,22.91, , , , , , , , , , , ,2.41,1.24,4.36, , , , , ,Cifras Definitivas
Estimación,Chiapas,401735,317252,250907,676312,15007,283086,2.8,326623,6,502.2,84371,461233,69113,253707, , , ,366440,868335,349451,122718,61981,153067,1028116,415611,38532,101966,61981, , , , , , , , , , , ,405477,7.5,67900, , , , , ,Cifras Definitivas
Límite de confianza inferior,Chiapas,376060,279795,224355,621260,10956,246665,2.7,290483,5.8,492.4,62951,405408,51738,217172, , , ,321832,802040,240358,45109,51619,132010,917322,354744,20745,73630,51619, , , , , , , , , , , ,364805,7.4,57935, , , , , ,Cifras Definitivas
Límite de confianza superior,Chiapas,427409,354709,277460,731364,19058,319507,2.8,362763,6.2,511.9,105790,517057,86488,290242, , , ,411049,934630,458543,200326,72343,174124,1138911,476478,56319,130302,72343, , , , , , , , , , , ,446148,7.6,77864, , , , , ,Cifras Definitivas
Coeficiente de variación,Chiapas,3.26,6.02,5.4,4.15,13.77,6.56,0.87,5.65,1.96,0.99,12.95,6.18,12.83,7.35, , , ,6.21,3.9,15.93,32.27,8.53,7.02,5.5,7.47,23.55,14.18,8.53, , , , , , , , , , , ,5.12,0.91,7.49, , , , , ,Cifras Definitivas
Estimación,Chihuahua,557648,305665,274701,850296,15370,292926,2.7,307711,5.5,521.5,128644,807606,278620,74900,353520,143255,2250043,539542,633692,799592,124175,15484,82535,1056433,149276,612922,154196,15484, , , , , , , , , , , ,664226,5.8,76880, , , , , ,Cifras Definitivas
Límite de confianza inferior,Chihuahua,492682,258999,241393,794579,9832,203327,2.7,264730,5.4,514.1,96518,750651,217990,58485,291354,133926,2047466,496754,578651,661652,88435,12170,74175,982297,107078,486132,114155,12170, , , , , , , , , , , ,574529,5.7,71890, , , , , ,Cifras Definitivas
Límite de confianza superior,Chihuahua,622614,352332,308009,906014,20908,382525,2.7,350691,5.6,528.9,160770,864560,339250,91315,415686,152583,2452619,582331,688733,937533,159915,18799,90894,1130569,191474,739713,194238,18799, , , , , , , , , , , ,753922,6,81871, , , , , ,Cifras Definitivas
Coeficiente de variación,Chihuahua,5.94,7.79,6.19,3.34,18.38,15.61,0.66,7.13,1.28,0.72,12.74,3.6,11.1,11.18,8.97,3.32,4.59,4.05,4.43,8.8,14.69,10.92,5.17,3.58,14.42,10.55,13.25,10.92, , , , , , , , , , , ,6.89,0.94,3.31, , , , , ,Cifras Definitivas
Estimación,Distrito Federal,1926,2857,1856,1809,76,566,2.3,3265,5.2,538.1,345,1098,746,1160, , , ,3079,2121,2151,907,1098,1191,1515,237,4282,1317,1098, , , , , , , , , , , ,1066,4.9,106, , , , , ,Cifras Definitivas
Límite de confianza inferior,Distrito Federal,1630,2447,1494,1453,4,384,2.1,2774,4.9,515.5,205,836,515,839, , , ,2507,1683,1749,637,881,973,1159,61,3677,939,881, , , , , , , , , , , ,897,4.4,75, , , , , ,Cifras Definitivas
Límite de confianza superior,Distrito Federal,2222,3268,2218,2165,147,748,2.4,3756,5.4,560.7,486,1361,978,1481, , , ,3651,2559,2552,1176,1315,1408,1871,414,4886,1695,1315, , , , , , , , , , , ,1235,5.4,136, , , , , ,Cifras Definitivas
