COLUMNA,DESCRIPCION,TIPO_DATO,LONGITUD,CODIGO_VALIDO
TIPO_DE_DATO,Es la presentación de la información.,varchar,100,"Estimación,Limite de confianza inferior,Limite de confianza superior,Coeficiente de variacion"
AA111_02_ALGODON,"Superficie sembrada de Algodón : Área de los terrenos de la unidad de producción, que en el periodo de referencia está cubierta con algodón . Unidad de medida: Hectáreas",float,10.2,0000000000.00-9999999999.99
AA111_02_ARROZ,"Superficie sembrada de Arroz : Área de los terrenos de la unidad de producción, que en el periodo de referencia está cubierta con arroz. Unidad de medida: Hectáreas",float,10.2,0000000000.00-9999999999.99
AA111_02_CALABAZA,"Superficie sembrada de Calabaza : Área de los terrenos de la unidad de producción, que en el periodo de referencia está cubierta con calabaza. Unidad de medida: Hectáreas",float,10.2,0000000000.00-9999999999.99
AA111_02_CEBADA,"Superficie sembrada de Cebada : Área de los terrenos de la unidad de producción, que en el periodo de referencia está cubierta con cebada. Unidad de medida: Hectáreas",float,10.2,0000000000.00-9999999999.99
AA111_02_CEBOLLA,"Superficie sembrada de Cebolla : Área de los terrenos de la unidad de producción, que en el periodo de referencia está cubierta con cebolla. Unidad de medida: Hectáreas",float,10.2,0000000000.00-9999999999.99
AA111_02_CHILE,"Superficie sembrada de Chile : Área de los terrenos de la unidad de producción, que en el periodo de referencia está cubierta con chile. Unidad de medida: Hectáreas",float,10.2,0000000000.00-9999999999.99
AA111_02_FRIJOL,"Superficie sembrada de Frijol : Área de los terrenos de la unidad de producción, que en el periodo de referencia está cubierta con frijol. Unidad de medida: Hectáreas",float,10.2,0000000000.00-9999999999.99
AA111_02_JITOMATE,"Superficie sembrada de Jitomate : Área de los terrenos de la unidad de producción, que en el periodo de referencia está cubierta con jitomate. Unidad de medida: Hectáreas",float,10.2,0000000000.00-9999999999.99
AA111_02_MAIZ_BLANCO,"Superficie sembrada de Maíz blanco : Área de los terrenos de la unidad de producción, que en el periodo de referencia está cubierta con maíz blanco. Unidad de medida: Hectáreas",float,10.2,0000000000.00-9999999999.99
AA111_02_MAIZ_FORRAJERO,"Superficie sembrada de Maíz forrajero : Área de los terrenos de la unidad de producción, que en el periodo de referencia está cubierta con maíz forrajero. Unidad de medida: Hectáreas",float,10.2,0000000000.00-9999999999.99
AA111_02_MELON,"Superficie sembrada de Melón : Área de los terrenos de la unidad de producción, que en el periodo de referencia está cubierta con melón. Unidad de medida: Hectáreas",float,10.2,0000000000.00-9999999999.99
AA111_02_SANDIA,"Superficie sembrada de Sandía : Área de los terrenos de la unidad de producción, que en el periodo de referencia está cubierta con sandía. Unidad de medida: Hectáreas",float,10.2,0000000000.00-9999999999.99
AA111_02_SORGO_GRANO,"Superficie sembrada de Sorgo grano : Área de los terrenos de la unidad de producción, que en el periodo de referencia está cubierta con sorgo grano. Unidad de medida: Hectáreas",float,10.2,0000000000.00-9999999999.99
AA111_02_SOYA,"Superficie sembrada de Soya : Área de los terrenos de la unidad de producción, que en el periodo de referencia está cubierta con soya. Unidad de medida: Hectáreas",float,10.2,0000000000.00-9999999999.99
AA111_02_TRIGO_GRANO,"Superficie sembrada de Trigo grano : Área de los terrenos de la unidad de producción, que en el periodo de referencia está cubierta con trigo grano. Unidad de medida: Hectáreas",float,10.2,0000000000.00-9999999999.99
AA111_02_AGUACATE,"Superficie plantada de Aguacate : Área de los terrenos de la unidad de producción, que en el periodo de referencia está cubierta con aguacate. Unidad de medida: Hectáreas",float,10.2,0000000000.00-9999999999.99
AA111_02_ALFALFA,"Superficie plantada de Alfalfa : Área de los terrenos de la unidad de producción, que en el periodo de referencia está cubierta con alfalfa. Unidad de medida: Hectáreas",float,10.2,0000000000.00-9999999999.99
AA111_02_CACAO,"Superficie plantada de Cacao : Área de los terrenos de la unidad de producción, que en el periodo de referencia está cubierta con cacao. Unidad de medida: Hectáreas",float,10.2,0000000000.00-9999999999.99
AA111_02_CAFE,"Superficie plantada de Café : Área de los terrenos de la unidad de producción, que en el periodo de referencia está cubierta con café . Unidad de medida: Hectáreas",float,10.2,0000000000.00-9999999999.99
AA111_02_CAÑA_DE_AZUCAR,"Superficie plantada de Caña de azúcar : Área de los terrenos de la unidad de producción, que en el periodo de referencia está cubierta con caña de azúcar. Unidad de medida: Hectáreas",float,10.2,0000000000.00-9999999999.99
AA111_02_LIMON,"Superficie plantada de Limón : Área de los terrenos de la unidad de producción, que en el periodo de referencia está cubierta con limón. Unidad de medida: Hectáreas",float,10.2,0000000000.00-9999999999.99
AA111_02_MANGO,"Superficie plantada de Mango : Área de los terrenos de la unidad de producción, que en el periodo de referencia está cubierta con mango. Unidad de medida: Hectáreas",float,10.2,0000000000.00-9999999999.99
AA111_02_MANZANA,"Superficie plantada de Manzana : Área de los terrenos de la unidad de producción, que en el periodo de referencia está cubierta con manzana. Unidad de medida: Hectáreas",float,10.2,0000000000.00-9999999999.99
AA111_02_NARANJA,"Superficie plantada de Naranja : Área de los terrenos de la unidad de producción, que en el periodo de referencia está cubierta con naranja. Unidad de medida: Hectáreas",float,10.2,0000000000.00-9999999999.99
AA111_02_PLATANO,"Superficie plantada de Plátano : Área de los terrenos de la unidad de producción, que en el periodo de referencia está cubierta con plátano. Unidad de medida: Hectáreas",float,10.2,0000000000.00-9999999999.99
AA111_02_UVA,"Superficie plantada de Uva : Área de los terrenos de la unidad de producción, que en el periodo de referencia está cubierta con uva. Unidad de medida: Hectáreas",float,10.2,0000000000.00-9999999999.99
AA111_13_ALGODON,Superficie cosechada de Algodón : Área de los terrenos de la unidad de producción de la cual se obtuvo o se espera obtener cosecha de algodón en el ciclo primavera-verano u otoño-invierno. Unidad de medida: Hectáreas,float,10.2,0000000000.00-9999999999.99
AA111_13_ARROZ,Superficie cosechada de Arroz : Área de los terrenos de la unidad de producción de la cual se obtuvo o se espera obtener cosecha de arroz en el ciclo primavera-verano u otoño-invierno. Unidad de medida: Hectáreas,float,10.2,0000000000.00-9999999999.99
