COLUMNA,DESCRIPCION,TIPO_DATO,LONGITUD,CODIGO_VALIDO
TIPO_DE_DATO,Es la presentación de la información.,varchar,100,"Estimación,Limite de confianza inferior,Limite de confianza superior,Coeficiente de variacion"
UPTR111,"Unidades de producción con uso de tractor : Vehículo automotor de características especiales, cuya capacidad de tracción o arrastre permite accionar diferentes implementos y accesorios utilizados en las actividades agrícolas, ganaderas o forestales. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
TR111_1,"Con tractor rentado o prestado : Tractor que no es propiedad del productor pero que es utilizado y aprovechado por éste sin costo alguno (prestamo) o bien  mediante un pago que hace al propietario, a través de un acuerdo o convenio también conocido como renta. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
TR115_1,Con tractor propio : Tractor que es propiedad del productor y que le da el derecho de disponer del mismo para utilizarlo libremente dentro o fuera  de sus terrenos. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
TR115_07_TRA_HASTA_5_AÑOS,Tractores hasta 5 años : Cantidad de años que ha sido usado el tractor o maquinaria desde su compra inicial. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
TR115_07_TRA_MAS_5,Tractores de 5 hasta 10 años : Cantidad de años que ha sido usado el tractor o maquinaria desde su compra inicial. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
TR115_07_TRA_MAS_10,Tractores de 10 hasta 15 años : Cantidad de años que ha sido usado el tractor o maquinaria desde su compra inicial. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
TR115_07_TRA_MAS_15,Tractores mas 15 años : Cantidad de años que ha sido usado el tractor o maquinaria desde su compra inicial. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
TR115_99_TRA,Tractores no especificado de años de uso : El informante no tiene conocimiento de los años de uso que tiene el tractor. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
MA111_1,"Unidades de producción con maquinaria propia : Número de trilladoras o cosechadoras, motogrúas o alguna otra maquinaria utilizadas en las labores agrícolas o ganaderas de  la unidad de producción en el periodo de referencia. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
TR115_07_TRI_HASTA_5_AÑOS,Trilladoras hasta 5 años : Número de años que tiene de uso la maquinaria. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
TR115_07_TRI_MAS_5,Trilladoras de 5 hasta 10 años : Número de años que tiene de uso la maquinaria. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
TR115_07_TRI_MAS_10,Trilladoras mas 10 años : Número de años que tiene de uso la maquinaria. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
MA115_99_TRI,Trilladoras no especificado de años de uso : El informante no tiene conocimiento de los años que ha sido usada la maquinaría. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
TR115_07_SEM_HASTA_5_AÑOS,Sembradoras de precision hasta 5 años : Número de años que tiene de uso la maquinaria. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
TR115_07_SEM_MAS_5,Sembradoras de precision de 5 hasta 10 años : Número de años que tiene de uso la maquinaria. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
TR115_07_SEM_MAS_10,Sembradoras de precision mas 10 años : Número de años que tiene de uso la maquinaria. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
MA115_99_SEM,Sembradoras de precision no especificado de años de uso : El informante no tiene conocimiento de los años que ha sido usada la maquinaría. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
MO115_04,"Promedio de horas trabajadas por día  : Cantidad de horas trabajadas en promedio por día, que las personas contratadas como jornaleros, trabajaron en las labores  agropecuarias o forestales dentro de la unidad de producción. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
MO115_05,"Promedio de días contratados al año : Cantidad aproximada de días que las personas contratadas como jornaleros, trabajaron en las labores agropecuarias o  forestales dentro de la unidad de producción. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
MO_HOMBRES,"Mano de obra hombres : Total de hombres que colaboran en las actividades agrícolas, ganaderas o forestales, realizadas en la unidad de producción, en el periodo de referencia. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
MO112_01_HOM,"Mano de obra no remunerada : Número de hombres familiares del productor, que han trabajado en las actividades agrícolas, ganaderas o forestales, sin pago alguno por el trabajo realizado en la unidad de producción, en el periodo de referencia. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
MO_REMU_HOM,"Mano de obra remunerada : Total de hombres que mediante un acuerdo, de palabra o escrito, se comprometen a trabajar durante un tiempo determinado a cambio de un pago también previamente acordado, en la unidad de producción, en el periodo de referencia. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
MO114_HOM,Mano de obra permanente : Total de hombres contratados con sueldo por un periodo de seis meses o más y que contribuyen al desarrollo de las  actividades agropecuarias de la unidad de producción en el periodo de referencia; pueden ser parientes o no. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
MO115_HOM,Mano de obra eventual : Total de hombres contratados con sueldo por un periodo menor a seis meses y que contribuyen al desarrollo de las actividades  agropecuarias de la unidad de producción en el periodo de referencia; pueden ser parientes o no. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
MO115_02_HOM,"Jornaleros : Número de hombres contratados en el período de referencia para la realización de las actividades agrícolas, ganaderas o  forestales, que cobran un salario por día de trabajo. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
MO118_HOM,Total de productore(a)s que participan en las labores agropecuarias : Productor hombre que también participa activamente en las labores agropecuarias o forestales de la unidad de producción. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
MO_MUJERES,"Mano de obra mujeres : Total de mujeres que colaboran en las actividades agrícolas, ganaderas o forestales, realizadas en la unidad de producción, en el periodo de referencia. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
MO112_01_MUJ,"Mano de obra no remunerada : Número de mujeres familiares del productor que han trabajado en las actividades agrícolas, ganaderas o forestales, sin pago alguno por el trabajo realizado en la unidad de producción, en el periodo de referencia. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
MO_REMU_MUJ,"Mano de obra remunerada : Total de mujeres que mediante un acuerdo, de palabra o escrito, se comprometen a trabajar durante un tiempo determinado a cambio de un pago también previamente acordado, en la unidad de producción, en el periodo de referencia. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
MO114_MUJ,Mano de obra permanente : Total de mujeres contratadas con sueldo por un periodo de seis meses o más y que contribuyen al desarrollo de las  actividades agropecuarias de la unidad de producción en el periodo de referencia; pueden ser parientes o no. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
MO115_MUJ,Mano de obra eventual : Total de mujeres contratadas con sueldo por un periodo menor a seis meses y que contribuyen al desarrollo de las actividades  agropecuarias de la unidad de producción en el periodo de referencia; pueden ser parientes o no. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
MO115_02_MUJ,"Jornaleros : Número de mujeres contratadas en el período de referencia para la realización de las actividades agrícolas, ganaderas o  forestales, que cobran un salario por día de trabajo. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
MO118_MUJ,Total de productore(a)s que participan en las labores agropecuarias : Productor mujer que también participa activamente en las labores agropecuarias o forestales de la unidad de producción. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
