COLUMNA,DESCRIPCION,TIPO_DATO,LONGITUD,CODIGO_VALIDO
TIPO_DE_DATO,Es la presentación de la información.,varchar,100,"Estimación,Limite de confianza inferior,Limite de confianza superior,Coeficiente de variacion"
ENTIDAD,Nombre de la  Entidad.,varchar,100,"Aguascalientes a Zacatecas,Nacional"
CB114_1,"Total de ganado bovino menor de un año : Bovino (becerro, ternero, mamón o lactante; luego del destete se le conoce como recría) perteneciente a la unidad de  producción que al 30 de septiembre de 2014 aún no ha cumplido su primer año de edad. Unidad de medida: Cabezas",float,10.2,0000000000.00-9999999999.99
CP121_7_3,"Crías nacidas al año : Número promedio de becerros que nacen al año, propiedad de la unidad de producción. Unidad de medida: Cabezas",float,10.2,0000000000.00-9999999999.99
CP121_MUEREN,"Crías que mueren al año : Número promedio de becerros que mueren al año, propiedad de la unidad de producción. Unidad de medida: Cabezas",float,10.2,0000000000.00-9999999999.99
CP121_DESTETE,Edad promedio al destete (meses) : Edad promedio de los becerros al destete. Unidad de medida: Cabezas,float,10.2,0000000000.00-9999999999.99
CB114_2,Ganado bovino de uno a dos años : Bovino (añojo o vaquilla) perteneciente a la unidad de producción que al 30 de septiembre de 2014 tenía de uno a dos años  de edad. Unidad de medida: Cabezas,float,10.2,0000000000.00-9999999999.99
CB114_3,"Ganado bovino de mas de dos a tres años : Bovino (novillo, vaquilla o vaca joven) perteneciente a la unidad de producción que al 30 de septiembre de 2014 tenía más  de dos y hasta tres años de edad. Unidad de medida: Cabezas",float,10.2,0000000000.00-9999999999.99
CB114_4,"Ganado bovino mayor a tres años : Cabeza (Vaca, semental, toro, y buey a los castrados) del ganado bovino perteneciente a la unidad de producción que al 30 de  septiembre de 2014 tenía más de tres años de edad. Unidad de medida: Cabezas",float,10.2,0000000000.00-9999999999.99
CB121_5,Sólo para  la cría de becerros  : Hembra del ganado bovino que por lo menos ha tenido un parto y su finalidad es exclusivamente la crianza de becerros para  la engorda o venta de pie de cría. Unidad de medida: Cabezas,float,10.2,0000000000.00-9999999999.99
CB121_6,"Sólo para la producción de leche  : Hembra del ganado bovino que por lo menos ha tenido un parto cuya finalidad es exclusivamente la producción de leche, por  lo que se le separa el becerro a los pocos días de nacido. Unidad de medida: Cabezas",float,10.2,0000000000.00-9999999999.99
CB121_7,Para la cría de becerros y ordeña : Hembra del ganado bovino que por lo menos ha tenido un parto y está destinada tanto a la producción de leche como a la  crianza de becerros. Unidad de medida: Cabezas,float,10.2,0000000000.00-9999999999.99
CB121_1,"Reses para trabajo : Bovino macho castrado (buey) que se utiliza para jalar o tirar carretas, implementos agrícolas o para carga. Unidad de medida: Cabezas",float,10.2,0000000000.00-9999999999.99
CB121_2,"Total de vaquillas de reemplazo : Es aquella hembra que por condiciones de selección en un momento dado, servirá para sustituir a otra vaca que por alguna u otra razón es dada de baja en el hato, o bien para incrementar la población del establo. Unidad de medida: Cabezas",float,10.2,0000000000.00-9999999999.99
CB121_2_1,Edad promedio al primer parto (años) : Edad promedio de las vaquillas al primer parto. Unidad de medida: Cabezas,float,10.2,0000000000.00-9999999999.99
CB121_3,"Reses en engorda : Bovino que se cría o desarrolla bajo cualquier sistema productivo, cuya finalidad es la producción de carne y se encuentra en  la fase de engorda o finalización para el abasto. Unidad de medida: Cabezas",float,10.2,0000000000.00-9999999999.99
CB121_3_1,Periodo promedio de engorda (meses) : Cantidad de meses que dura el ganado en la fase de engorda o finalización para el abasto. Unidad de medida: Cabezas,float,10.2,0000000000.00-9999999999.99
CB121_3_2,Peso promedio de venta (kilos) : Peso promedio de los bovinos de engorda al momento de la venta expresado en kilogramos. Unidad de medida: Cabezas,float,10.2,0000000000.00-9999999999.99
CB121_4,"Sementales Bovinos : Bovino macho en edad reproductiva, seleccionado para el apareamiento con las hembras en forma directa o para la obtención  de semen con fines de inseminación artificial. Unidad de medida: Cabezas",float,10.2,0000000000.00-9999999999.99
CB131_NO_CLAS,Sin clasificar : Son las existencias de ganado bovino en las unidades de producción objeto de la encuesta que no cumplieron con el filtro de 5 o más cabezas y por lo cual no se clasificaron en las unidades de producción con ganado bovino según calidad del ganado. Unidad de medida: Cabezas,float,10.2,0000000000.00-9999999999.99
CB161_1,"Libre pastoreo : Reses que se encuentran en libertad todo el tiempo y, por lo tanto, se alimentan directamente de los pastos naturales u otras  hierbas. Unidad de medida: Cabezas",float,10.2,0000000000.00-9999999999.99
CB161_2,"Pastoreo controlado : Reses cuya alimentación proviene directamente de pastos naturales o cultivados, pero cuyo acceso se va controlando con el  propósito de un mejor aprovechamiento y conservación de los pastos. Unidad de medida: Cabezas",float,10.2,0000000000.00-9999999999.99
CB161_3,"En corral o establo : Reses que se desarrollan bajo control, permaneciendo todo el tiempo en establos o corrales (estabulados) donde se les  proporciona toda su alimentación. Unidad de medida: Cabezas",float,10.2,0000000000.00-9999999999.99
CB161_4,"En corral, establo y pastoreo : Reses cuya alimentación proviene tanto de pastos naturales o cultivados y otras hierbas que consumen directamente en los  terrenos, como del alimento proporcionado en el establo o corral (semiestabulados). Unidad de medida: Cabezas",float,10.2,0000000000.00-9999999999.99
CB161_NO_CLAS,No clasificados : Son las existencias de ganado bovino en las unidades de producción objeto de la encuesta que no cumplieron con el filtro de 5 o más cabezas y por lo cual no se clasificaron en las unidades de producción con ganado bovino según manejo del ganado. Unidad de medida: Cabezas,float,10.2,0000000000.00-9999999999.99
CB131_1,Corrientes o criollas : Bovino que no ha tenido un mejoramiento genético y cuyas características no corresponden a las de alguna raza definida. Unidad de medida: Cabezas,float,10.2,0000000000.00-9999999999.99
CB131_2,Cruza de corrientes con finas : Bovino obtenido del apareamiento o mediante inseminación artificial de una hembra corriente con otro de raza fina. Unidad de medida: Cabezas,float,10.2,0000000000.00-9999999999.99
CB131_3,"Total de bovinos finos o razas especializadas : Bovino de una raza definida capaz de transmitir sus características a su descendencia; entre las que destacan holstein frisean, pardo suizo, hereford, charolais, brahman, indobrasil, entre otras. En este concepto se incluyen las cruzas entre animales de distintas razas puras. Unidad de medida: Cabezas",float,10.2,0000000000.00-9999999999.99
CB131_3_1,"De registro  : Bovino que posee pureza racial y que cuenta con un certificado oficial, también llamado pedigrí, donde se garantiza su  calidad genética. Unidad de medida: Cabezas",float,10.2,0000000000.00-9999999999.99
CB131_3_1_1,Raza no especificada : Nombre de la raza del ganado bovino de registro con que cuenta la unidad de producción. Unidad de medida: Cabezas,float,10.2,0000000000.00-9999999999.99
CB121_VACAS,"Vacas para ordeña : Hembra del ganado bovino que por lo menos ha tenido un parto cuya finalidad es exclusivamente la producción de leche, por lo que se le separa el becerro a los pocos días de nacido. Unidad de medida: Cabezas",float,10.2,0000000000.00-9999999999.99
CB122,Promedio de vacas ordeñadas por día : Número promedio de vacas ordeñadas por día pertenecientes a la unidad de producción. Unidad de medida: Cabezas,float,10.2,0000000000.00-9999999999.99
CB122_01,Producción media diaria de leche  : Cantidad promedio de leche ordeñada obtenida por día pertenecientes a la unidad de producción. Unidad de medida: Cabezas,float,10.2,0000000000.00-9999999999.99
CP112,"Existencias totales de ganado porcino : Número total de cabezas de ganado porcino de cualquier edad y sexo que poseía la unidad de producción el 30 de septiembre  de 2014. También se conoce al marrano como puerco, cochi, cerdo, cochino, chancho, entre otros nombres. Unidad de medida: Cabezas",float,10.2,0000000000.00-9999999999.99
CP121_1,"Menores de ocho semanas : Cría de la marrana que no ha sido destetada. Es práctica común los destetes a los 21, 28 y hasta 35 días. Unidad de medida: Cabezas",float,10.2,0000000000.00-9999999999.99
