AGRUPACION1,AGRUPACION2,DESCRIPCION,VALOR,TABULADO,ESTATUS
"Chihuahua","","Unidades de producción forestal-Número",427,ena17_for01,Cifras Definitivas
"Chihuahua","","Unidades de producción forestal-Superficie -Total ",3027197.46,ena17_for01,Cifras Definitivas
"Chihuahua","","Unidades de producción forestal-Superficie -Bosque",2082173.5828,ena17_for01,Cifras Definitivas
"Chihuahua","","Personalidad jurídica del productor-Persona física-Unidades de producción",255,ena17_for01,Cifras Definitivas
"Chihuahua","","Personalidad jurídica del productor-Persona física-Superficie -Total",173374.82,ena17_for01,Cifras Definitivas
"Chihuahua","","Personalidad jurídica del productor-Persona física-Superficie -Bosque",130565.2684,ena17_for01,Cifras Definitivas
"Chihuahua","","Personalidad jurídica del productor-Persona moral-Ejido-Unidades de producción",151,ena17_for01,Cifras Definitivas
"Chihuahua","","Personalidad jurídica del productor-Persona moral-Ejido-Superficie -Total",2641077.64,ena17_for01,Cifras Definitivas
"Chihuahua","","Personalidad jurídica del productor-Persona moral-Ejido-Superficie -Bosque",1813367.3144,ena17_for01,Cifras Definitivas
"Chihuahua","","Personalidad jurídica del productor-Persona moral-Comunidad agraria-Unidades de producción",13,ena17_for01,Cifras Definitivas
"Chihuahua","","Personalidad jurídica del productor-Persona moral-Comunidad agraria-Superficie -Total",99347,ena17_for01,Cifras Definitivas
"Chihuahua","","Personalidad jurídica del productor-Persona moral-Comunidad agraria-Superficie -Bosque",76559,ena17_for01,Cifras Definitivas
"Chihuahua","","Personalidad jurídica del productor-Persona moral-Otra organización-Unidades de producción",8,ena17_for01,Cifras Definitivas
"Chihuahua","","Personalidad jurídica del productor-Persona moral-Otra organización-Superficie -Total",113398,ena17_for01,Cifras Definitivas
"Chihuahua","","Personalidad jurídica del productor-Persona moral-Otra organización-Superficie -Bosque",61682,ena17_for01,Cifras Definitivas
"Durango","","Unidades de producción forestal-Número",255,ena17_for01,Cifras Definitivas
"Durango","","Unidades de producción forestal-Superficie -Total ",2488529.8385999999,ena17_for01,Cifras Definitivas
"Durango","","Unidades de producción forestal-Superficie -Bosque",1870759.6610999999,ena17_for01,Cifras Definitivas
"Durango","","Personalidad jurídica del productor-Persona física-Unidades de producción",75,ena17_for01,Cifras Definitivas
"Durango","","Personalidad jurídica del productor-Persona física-Superficie -Total",77204.902600000001,ena17_for01,Cifras Definitivas
"Durango","","Personalidad jurídica del productor-Persona física-Superficie -Bosque",68223.289999999994,ena17_for01,Cifras Definitivas
"Durango","","Personalidad jurídica del productor-Persona moral-Ejido-Unidades de producción",145,ena17_for01,Cifras Definitivas
"Durango","","Personalidad jurídica del productor-Persona moral-Ejido-Superficie -Total",1406771.82,ena17_for01,Cifras Definitivas
"Durango","","Personalidad jurídica del productor-Persona moral-Ejido-Superficie -Bosque",1066619.6011000001,ena17_for01,Cifras Definitivas
"Durango","","Personalidad jurídica del productor-Persona moral-Comunidad agraria-Unidades de producción",35,ena17_for01,Cifras Definitivas
"Durango","","Personalidad jurídica del productor-Persona moral-Comunidad agraria-Superficie -Total",1004553.116,ena17_for01,Cifras Definitivas
"Durango","","Personalidad jurídica del productor-Persona moral-Comunidad agraria-Superficie -Bosque",735916.77,ena17_for01,Cifras Definitivas
