_id,upmid,id_conglomerado,anio,estado,sitio,transecto,comp,altura5,altura10
4907,34257,69266,2015,Michoacán de Ocampo,3,1,Pastos,0.0,0.0
5237,38204,68270,2015,Michoacán de Ocampo,3,1,Hierbas,35.0,15.0
5241,39241,68025,2015,Michoacán de Ocampo,4,1,Arbustos,0.0,0.0
5711,39241,68025,2015,Michoacán de Ocampo,4,1,Pastos,57.0,59.0
5837,38204,68270,2015,Michoacán de Ocampo,3,1,Pastos,0.0,0.0
5845,39241,68025,2015,Michoacán de Ocampo,1,1,Arbustos,0.0,0.0
6239,41362,67481,2015,Michoacán de Ocampo,3,1,Pastos,0.0,0.0
6431,44881,66600,2015,Michoacán de Ocampo,1,1,Arbustos,0.0,0.0
6432,44881,66600,2015,Michoacán de Ocampo,2,3,Hierbas,35.0,40.0
6837,41382,67491,2015,Michoacán de Ocampo,3,1,Arbustos,0.0,0.0
7335,42486,67177,2015,Michoacán de Ocampo,1,1,Pastos,81.0,55.0
7336,42486,67177,2015,Michoacán de Ocampo,3,1,Hierbas,0.0,0.0
7552,40279,67762,2015,Michoacán de Ocampo,3,1,Hierbas,0.0,0.0
7553,49607,65463,2015,Michoacán de Ocampo,4,1,Arbustos,170.0,241.0
8235,39241,68025,2015,Michoacán de Ocampo,2,3,Otros,0.0,0.0
8257,40289,67767,2015,Michoacán de Ocampo,3,1,Otros,1.0,1.0
8282,44881,66600,2015,Michoacán de Ocampo,1,1,Pastos,40.0,45.0
8283,44881,66600,2015,Michoacán de Ocampo,2,3,Pastos,30.0,30.0
8385,46072,66319,2015,Michoacán de Ocampo,3,1,Pastos,0.0,0.0
8387,46132,66349,2015,Michoacán de Ocampo,3,1,Hierbas,53.0,37.0
8408,48449,65760,2015,Michoacán de Ocampo,1,1,Arbustos,63.0,120.0
8409,48449,65760,2015,Michoacán de Ocampo,3,1,Arbustos,280.0,240.0
8750,48449,65760,2015,Michoacán de Ocampo,2,2,Hierbas,58.0,0.0
8751,48449,65760,2015,Michoacán de Ocampo,4,4,Arbustos,212.0,123.0
