municipio,ha_agricola_total,ha_forestal_total,ha_urbana,ha_aguacate,ton_aguacate,pct_bosque,pct_aguacate_en_agri,fase_narrativa,baseline_def_nacional,state_reforestacion_total,state_unidades_forestales,impact_ratio
Tancítaro,16996.3949,4454.5012,414.83185976,24818.4886,279491.0474,0.20765069806579942,1.4601348468993918,Clímax (Dominancia del Monocultivo),-0.21,11410.33,517.0,1.460220755402665
Uruapan,25552.86,23248.2533,12407.63450953,19251.0891,210257.3464,0.47637800349109066,0.7533534698867412,Clímax (Dominancia del Monocultivo),-0.21,11410.33,517.0,0.7533829520452897
Salvador Escalante,26953.0415,4836.4596,2144.63467164,16914.6147,170397.5214,0.1521353685110676,0.6275353809186648,Clímax (Dominancia del Monocultivo),-0.21,11410.33,517.0,0.6275586634628971
Tacámbaro,38452.0797,4081.5477,1849.93879087,16427.4542,176944.1712,0.09595823331462872,0.42720776406369343,Clímax (Dominancia del Monocultivo),-0.21,11410.33,517.0,0.42721887419784993
Ario,30388.2974,5635.1673,2080.50902095,16249.0908,163713.6674,0.15642612171833328,0.5346978110787122,Clímax (Dominancia del Monocultivo),-0.21,11410.33,517.0,0.5347154065959615
Peribán,13758.6783,396.2726,915.437947,10163.2006,118847.1495,0.027993357902929714,0.7386219632765688,Clímax (Dominancia del Monocultivo),-0.21,11410.33,517.0,0.7386756473548771
Los Reyes,12809.5623,6813.9086,1703.32655894,8303.2798,87360.8758,0.3472148948484517,0.6481588868273175,Clímax (Dominancia del Monocultivo),-0.21,11410.33,517.0,0.6482094864396734
Nuevo Parangaricutiro,5898.2299,11934.0603,497.56720397,7224.2461,73660.5884,0.6692012615821168,1.224608334047127,Clímax (Dominancia del Monocultivo),-0.21,11410.33,517.0,1.2248159570721378
Ziracuaretiro,3852.298,4264.2822,921.33286562,4792.2317,50324.0099,0.525314452698601,1.2436701495705758,Conflicto (Presión sobre el Suelo),-0.21,11410.33,517.0,1.2439929880813998
Tingambato,4803.2552,5935.789,857.59005737,4640.1884,46801.5234,0.5526782655140283,0.96584969091567,Conflicto (Presión sobre el Suelo),-0.21,11410.33,517.0,0.9660507732339519
Tingüindín,6816.0184,337.7535,573.65220055,4542.2403,48544.0186,0.04720674603197343,0.6663089394037722,Conflicto (Presión sobre el Suelo),-0.21,11410.33,517.0,0.6664066957330984
Turicato,85242.8262,468.8014,2408.47198406,4039.1742,42490.6538,0.005469455471459611,0.047383774052131886,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.04738432992030478
Zitácuaro,16724.8634,15124.9788,5024.75275866,3117.4482,20967.6895,0.4748690381568623,0.18638488940427433,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.18639603358434606
Zacapu,16176.3152,2298.7459,2702.64158339,2397.3588,22823.8952,0.12441753074739507,0.1481926246946094,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.1482017857812266
Tangamandapio,18777.7403,0.0,1168.4022156,2045.0041,18185.5339,0.0,0.10889996172959482,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.10890576114741558
Cotija,19931.0721,3696.5247,1002.22949989,1896.8345,15703.2018,0.1564428362500138,0.09516494273568275,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.09516971743833087
Tangancícuaro,16627.1288,4934.0501,1200.60398926,1811.4458,15368.2083,0.22882891951146925,0.10893864377572059,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.10894519563714453
Tocumbo,7921.1351,5987.1219,989.77741813,1763.606,18883.285,0.4304415325707189,0.22261751128177554,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.22264561552548193
Apatzingán,66130.967,2109.3676,6831.26071047,1752.5982,20458.8951,0.030910409539382015,0.026501528375830707,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.026501929118925478
Pátzcuaro,14007.3458,12311.455,2480.48894705,1664.8453,17045.5628,0.46776398854812007,0.11884667353086044,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.11885515812710214
Acuitzio,5212.4682,1798.9263,697.95851504,1283.3347,11326.198,0.25653523913978316,0.2461575770232952,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.2462048017866085
Madero,43526.7206,18229.6341,489.70226178,1240.7266,11938.764,0.29518158911686676,0.02850428607097795,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.028504940939658108
Tuxpan,9697.8357,1240.8106,871.72916462,971.751,8891.0459,0.11342328316410011,0.10019254166765605,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.10020287310085074
Morelia,39587.7904,7291.0667,14715.67570049,926.4629,8746.1031,0.1555266408864544,0.023402152241559775,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.023402743387264172
Purépero,4592.3525,397.6194,895.64889594,555.0636,4606.7846,0.07966772964600342,0.12084062784208265,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.12086694128989443
Susupuato,19023.3153,208.0792,571.36871503,504.3247,4393.1354,0.010819204025790964,0.02650947968676697,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.026510873212515173
Charapan,10086.2775,5213.7311,564.40326657,370.993,1913.149,0.3407442761649059,0.03677830812129437,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.03678195449213052
Chilchota,9721.59,3339.6375,1366.37330855,368.4302,2794.8715,0.2556713623308122,0.03789424422916116,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.03789814217633124
Jiménez,8772.1171,72.1794,1111.72867943,363.3553,2349.9682,0.008160201300205143,0.041416898447645255,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.04142161987326868
