entidad,total_unidades,unidades_con_acciones,unidades_con_apoyo,unidades_sin_apoyo,pct_acciones_sin_apoyo
Aguascalientes,12,11,5,6,50.0
Baja California,39,24,5,19,76.0
Baja California Sur,25,22,6,16,69.56521739130434
Campeche,75,64,63,1,1.5384615384615385
Coahuila de Zaragoza,37,24,7,17,68.0
Colima,3,3,2,1,25.0
Chiapas,47,35,11,24,66.66666666666666
Chihuahua,202,141,37,104,73.23943661971832
Ciudad de México,24,23,17,6,25.0
Durango,789,735,91,644,87.5
Guanajuato,39,31,9,22,68.75
Guerrero,156,131,83,48,36.36363636363637
Hidalgo,153,139,40,99,70.71428571428572
Jalisco,137,112,45,67,59.29203539823009
México,389,334,156,178,53.13432835820896
Michoacán de Ocampo,517,357,68,289,80.72625698324022
Morelos,53,41,13,28,66.66666666666666
Nayarit,62,54,30,24,43.63636363636363
Nuevo León,66,55,21,34,60.71428571428571
Oaxaca,146,121,33,88,72.1311475409836
Puebla,260,232,38,194,83.2618025751073
Querétaro,46,34,10,24,68.57142857142857
Quintana Roo,104,86,35,51,58.620689655172406
San Luis Potosí,60,36,15,21,56.75675675675676
Sinaloa,20,20,2,18,85.71428571428571
Sonora,18,9,1,8,80.0
Tabasco,4,4,2,2,40.0
Tamaulipas,59,26,11,15,55.55555555555556
Tlaxcala,46,43,2,41,93.18181818181817
Veracruz de Ignacio de la Llave,91,83,12,71,84.52380952380952
Yucatán,47,28,32,-4,-13.793103448275861
Zacatecas,37,28,5,23,79.3103448275862
