loss_year,loss_area_ha
2001,2910.268167073082
2002,1397.4276088604115
2003,1007.8015064914437
2004,1798.918834682994
2005,1890.4118926838908
2006,2981.1429703671492
2007,4095.750668444727
2008,2770.584284653937
2009,2010.7931246492174
2010,2182.9413422082657
2011,2594.9948075620523
2012,3155.647451859113
2013,6025.763800373429
2014,3997.582369263152
2015,4599.238194433368
2016,6764.620500098094
2017,5268.555839540967
2018,8677.932398927254
2019,5844.073379421505
2020,3978.0911488309775
2021,5640.5056580226355
2022,4435.143987796962
2023,4407.21301064253
2024,6142.6619215077935
