iso,adm1,umd_tree_cover_loss__year,umd_tree_cover_loss__ha,gfw_gross_emissions_co2e_all_gases__Mg
MEX,16,2001,4112.053992969626,1556073.3350401039
MEX,16,2002,1626.447855732064,640518.6327961521
MEX,16,2003,1162.5122883576057,481799.2173910114
MEX,16,2004,2225.191090901297,973262.4221181907
MEX,16,2005,2132.433139533979,884545.3905019644
MEX,16,2006,3382.934409421516,1511645.4014947251
MEX,16,2007,4739.984520112912,2150675.566715283
MEX,16,2008,3213.0185700115085,1372884.5214841892
MEX,16,2009,2558.112706150966,1107718.5905419781
MEX,16,2010,2665.207328801894,1201574.605775752
MEX,16,2011,3257.7541375190344,1454751.9614368048
MEX,16,2012,3689.747840445617,1623583.4569796156
MEX,16,2013,6825.935373275265,3016781.7317745704
MEX,16,2014,4629.532188001576,2136804.5617701155
MEX,16,2015,5129.10764444234,2391201.4663625304
MEX,16,2016,7410.746829615282,3628906.9979052767
MEX,16,2017,5922.877864813297,2884308.871806959
MEX,16,2018,10031.630036027716,4731714.2815183
MEX,16,2019,6496.739044484839,3115626.5245301025
MEX,16,2020,4618.323311780617,2237187.674871105
MEX,16,2021,6855.646509411797,3128995.4457908324
MEX,16,2022,5623.627012148117,2779326.01189936
MEX,16,2023,5277.881952041453,2595387.004324626
MEX,16,2024,7636.624054497872,3409634.6182707846
