municipio,ha_cobertura_2010,ha_total_municipio
Acuitzio,8549.179282654628,17633.825194686684
Aguililla,76715.44713295993,139685.44702324877
Álvaro Obregón,533.4229750684199,15952.012027334358
Angamacutiro,2030.106935313349,24028.890228193544
Angangueo,4940.60586199898,7683.831914496827
Apatzingán,49973.12151756521,164026.75622552156
Aporo,3566.5951477338513,5841.411178127581
Aquila,175568.37699596438,226308.4703407332
Ario,42064.90507522697,69516.60997598156
Arteaga,196799.51169929936,343444.56588331924
Briseñas,104.10205352061217,6767.613753721166
Buenavista,10393.067900661135,92238.56785521172
Carácuaro,34876.647116341606,91810.14611774664
Charapan,10988.50888125709,23376.751195233595
Charo,15139.647735175846,32302.222038923705
Chavinda,2962.375508875467,15205.834587912692
Cherán,15372.008564245672,22237.333721382103
Chilchota,16563.94002066536,30458.302196204113
Chinicuila,82822.24847361808,102201.7416460161
Chucándiro,6542.982981347064,19231.841840540103
Churintzio,6461.593386475219,22941.35033262686
Churumuco,23342.595216973616,110903.57476127196
Coahuayana,19407.138160416147,36571.939088470725
Coalcomán de Vázquez Pallares,234796.42830989545,282637.3129983308
Coeneo,11746.130074447228,39368.206658622235
Cojumatlán de Régules,3401.564391163796,13111.383432623255
Contepec,3684.7264167128496,37881.34503919541
Copándaro,1557.432996350762,17327.6322794633
Cotija,23590.907253894267,50500.62741289686
Cuitzeo,1383.2382852186772,25442.200210266852
Ecuandureo,8161.917823813589,30417.650727653876
Epitacio Huerta,4271.691986246407,42361.28457337298
Erongarícuaro,12097.42299604306,24397.112976185377
Gabriel Zamora,11707.258814565492,36732.25119775034
Hidalgo,75756.85369730125,114342.61860925647
Huandacareo,3321.571861242804,9619.511522184746
Huaniqueo,6629.105925139042,20056.01821916831
Huetamo,24273.35545069548,205727.5532527129
Huiramba,1963.0787165410256,7910.694428659501
Indaparapeo,6156.050319089541,17649.345881023073
Irimbo,1571.604097289539,12665.275063250921
Ixtlán,1543.7653155389105,12389.700735298513
Jacona,2889.686431216458,11868.99042004196
Jiménez,2414.9120461250723,19449.597292239312
Jiquilpan,5655.27793445322,24320.032685850736
José Sixto Verduzco,2417.7363434943386,21970.39276116669
Juárez,6061.74805375495,14099.574480281648
Jungapeo,12584.42702469602,26549.231555730643
La Huacana,38444.4607954564,195202.75854094353
La Piedad,4173.752981096533,28474.863036659022
Lagunillas,1100.355850025604,7268.085270825053
Lázaro Cárdenas,66157.6060678025,114897.33013170732
Los Reyes,28584.936197452647,48086.23314479376
Madero,71370.80033985965,101960.72020900178
Maravatío,7550.348997371738,69768.52320005369
Marcos Castellanos,3958.0688884426495,23303.283469411777
Morelia,34783.39767361568,119217.6258388546
Morelos,4767.456701912968,18338.41435759837
Múgica,754.2518611253824,37756.70856449601
Nahuatzen,18015.15730202033,30416.833798773
Nocupétaro,23350.329884174374,54551.83844980044
Nuevo Parangaricutiro,19007.377585379705,23495.830505805778
Nuevo Urecho,19248.281642311973,33041.52865777095
Numarán,85.31032757810999,7689.357947638749
Ocampo,8254.780249335092,14224.81723026744
Pajacuarán,1779.844594234639,17037.66589698279
Panindícuaro,7412.962567485699,28922.7619002654
Paracho,11517.979632171537,24418.50534960111
Parácuaro,2965.649117510336,50339.457533688605
Pátzcuaro,23142.172243318106,43851.610929255214
Penjamillo,7038.600010310955,37123.75713092594
Peribán,20686.451316621937,33180.774379342925
Purépero,8022.9484080817265,19267.3015541799
Puruándiro,17563.949957232904,71889.7887400257
Queréndaro,14221.595455763229,23484.23253884484
Quiroga,11352.602125638396,21336.43364977359
Sahuayo,1851.1089438377776,12813.04059989182
Salvador Escalante,23058.455154753345,48785.14577626853
San Lucas,3382.0238312147885,46792.26445666706
Santa Ana Maya,1171.3697447500208,10410.88535135952
Senguio,10553.542195015765,25032.518313318276
Susupuato,10919.708417681633,26795.29135786829
Tacámbaro,41063.48361856141,78683.028330801
Tancítaro,52634.30521360537,71427.15756158049
Tangamandapio,15894.707182144852,31609.32456538347
Tangancícuaro,13796.128749486532,38515.461295490066
Tanhuato,4560.1609129964245,22804.859179445128
Taretan,7845.14714133135,18510.516718167954
Tarímbaro,1253.8058858196953,25585.62395597904
Tepalcatepec,13302.169372841341,79811.26035935542
Tingambato,13840.9576277791,18973.07740780057
Tingüindín,9929.692793059176,17276.772066571575
Tiquicheo de Nicolás Romero,58231.16064061919,149300.04501526375
Tlalpujahua,7605.178322369649,19719.64338843636
Tlazazalca,7561.619584901009,20375.880490352934
Tocumbo,28273.32937767992,50605.59424099493
Tumbiscatío,141604.57694721405,206244.9547209252
Turicato,65287.78469036222,154610.29690590053
Tuxpan,11840.710038036175,24344.54851158894
Tuzantla,39189.40517837577,101809.5829518248
Tzintzuntzan,6035.23526796719,18437.81285377617
Tzitzio,57805.61109036785,94130.70394253395
Uruapan,64269.48691130161,101297.08625753212
Venustiano Carranza,647.8709824423179,22762.88180244802
Villamar,7571.824502392328,35017.41290728021
Vista Hermosa,132.49002072180085,14760.547250380692
Yurécuaro,4270.720382258272,17437.903122501455
Zacapu,19645.416760258497,45463.59579918488
Zamora,6774.04984542607,33504.33141690625
Zináparo,1436.4096265543967,11317.485356469208
Zinapécuaro,20184.53592295993,59641.06329097189
Ziracuaretiro,9958.89991024372,15999.841599635312
Zitácuaro,26744.83826615013,51258.742386288555
